Day,GE,Returns,,Lag 1,Lag 2,Lag 3,Lag 4,Lag5,,,
1,17.07,,,,,,,,,Lag,Correleation 5
2,16.63,-0.44,,17.07,,,,,,1,0.993120977
3,16.86,0.23,0.67,16.63,17.07,,,,,2,0.985766656
4,16.11,-0.75,-0.98,16.86,16.63,17.07,,,,3,0.977645267
5,16.14,0.03,0.78,16.11,16.86,16.63,17.07,,,4,0.970143196
6,16,-0.14,-0.17,16.14,16.11,16.86,16.63,17.07,,5,0.961876391
7,15.83,-0.17,-0.03,16,16.14,16.11,16.86,16.63,,,
8,14.94,-0.89,-0.72,15.83,16,16.14,16.11,16.86,,,
9,14.11,-0.83,0.06,14.94,15.83,16,16.14,16.11,,,
10,13.77,-0.34,0.49,14.11,14.94,15.83,16,16.14,,,
11,13.96,0.19,0.53,13.77,14.11,14.94,15.83,16,,,
12,12.93,-1.03,-1.22,13.96,13.77,14.11,14.94,15.83,,,
13,13.03,0.1,1.13,12.93,13.96,13.77,14.11,14.94,,,
14,13.48,0.45,0.35,13.03,12.93,13.96,13.77,14.11,,,
15,12.03,-1.45,-1.9,13.48,13.03,12.93,13.96,13.77,,,
16,12.42,0.39,1.84,12.03,13.48,13.03,12.93,13.96,,,
17,13.06,0.64,0.25,12.42,12.03,13.48,13.03,12.93,,,
18,13.5,0.44,-0.2,13.06,12.42,12.03,13.48,13.03,,,
19,12.72,-0.78,-1.22,13.5,13.06,12.42,12.03,13.48,,,
20,12.13,-0.59,0.19,12.72,13.5,13.06,12.42,12.03,,,
21,11.62,-0.51,0.08,12.13,12.72,13.5,13.06,12.42,,,
22,11.37,-0.25,0.26,11.62,12.13,12.72,13.5,13.06,,,
23,11.26,-0.11,0.14,11.37,11.62,12.13,12.72,13.5,,,
24,10.85,-0.41,-0.3,11.26,11.37,11.62,12.13,12.72,,,
25,11.1,0.25,0.66,10.85,11.26,11.37,11.62,12.13,,,
26,12.64,1.54,1.29,11.1,10.85,11.26,11.37,11.62,,,
27,11.62,-1.02,-2.56,12.64,11.1,10.85,11.26,11.37,,,
28,11.94,0.32,1.34,11.62,12.64,11.1,10.85,11.26,,,
29,11.68,-0.26,-0.58,11.94,11.62,12.64,11.1,10.85,,,
30,11.44,-0.24,0.02,11.68,11.94,11.62,12.64,11.1,,,
31,10.81,-0.63,-0.39,11.44,11.68,11.94,11.62,12.64,,,
32,10.86,0.05,0.68,10.81,11.44,11.68,11.94,11.62,,,
33,10.06,-0.8,-0.85,10.86,10.81,11.44,11.68,11.94,,,
34,9.38,-0.68,0.12,10.06,10.86,10.81,11.44,11.68,,,
35,8.85,-0.53,0.15,9.38,10.06,10.86,10.81,11.44,,,
36,9.08,0.23,0.76,8.85,9.38,10.06,10.86,10.81,,,
37,9.01,-0.07,-0.3,9.08,8.85,9.38,10.06,10.86,,,
38,9.1,0.09,0.16,9.01,9.08,8.85,9.38,10.06,,,
39,8.51,-0.59,-0.68,9.1,9.01,9.08,8.85,9.38,,,
40,7.6,-0.91,-0.32,8.51,9.1,9.01,9.08,8.85,,,
41,7.01,-0.59,0.32,7.6,8.51,9.1,9.01,9.08,,,
42,6.69,-0.32,0.27,7.01,7.6,8.51,9.1,9.01,,,
43,6.66,-0.03,0.29,6.69,7.01,7.6,8.51,9.1,,,
44,7.06,0.4,0.43,6.66,6.69,7.01,7.6,8.51,,,
45,7.41,0.35,-0.05,7.06,6.66,6.69,7.01,7.6,,,
46,8.87,1.46,1.11,7.41,7.06,6.66,6.69,7.01,,,
47,8.49,-0.38,-1.84,8.87,7.41,7.06,6.66,6.69,,,
48,9.57,1.08,1.46,8.49,8.87,7.41,7.06,6.66,,,
49,9.62,0.05,-1.03,9.57,8.49,8.87,7.41,7.06,,,
