Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,1070.84998,1104.00,1069.00,1091.59998,1223400,1091.59998
2017-02-24,1068.19995,1068.19995,1068.19995,1068.19995,000,1068.19995
2017-02-23,1083.00,1099.00,1066.50,1068.19995,1196100,1068.19995
2017-02-22,1095.00,1104.15002,1065.00,1076.25,1000600,1076.25
2017-02-21,1092.19995,1105.94995,1085.00,1095.90002,335400,1095.90002
2017-02-20,1092.94995,1109.50,1035.00,1095.90002,617500,1095.90002
2017-02-17,1110.00,1118.00,1081.09998,1089.50,1408800,1089.50
2017-02-16,1040.90002,1106.00,1035.00,1094.34998,1035000,1094.34998
2017-02-15,1060.30005,1065.00,1029.00,1040.40002,679200,1040.40002
2017-02-14,1064.00,1069.00,1055.00,1059.50,438100,1059.50
2017-02-13,1057.00,1070.00,1043.25,1058.94995,484400,1058.94995
2017-02-10,1045.19995,1059.00,1038.00,1055.44995,643300,1055.44995
2017-02-09,1058.00,1061.65002,1026.00,1040.84998,916800,1040.84998
2017-02-08,1060.00,1069.40002,1025.00,1049.44995,1046200,1049.44995
2017-02-07,1070.00,1075.00,1052.40002,1060.94995,658700,1060.94995
2017-02-06,1056.00,1085.50,1050.09998,1073.69995,1218000,1073.69995
2017-02-03,1055.30005,1068.00,1042.30005,1047.34998,903000,1047.34998
2017-02-02,1067.40002,1083.94995,1050.00,1054.15002,1681700,1054.15002
2017-02-01,1039.00,1069.90002,1025.00,1066.15002,1860300,1066.15002
2017-01-31,1058.90002,1072.00,1030.75,1036.90002,2304500,1036.90002
2017-01-30,990.00,1059.00,989.15002,1054.80005,4866300,1054.80005
2017-01-27,1000.00,1020.00,991.34998,995.84998,1386900,995.84998
2017-01-26,999.84998,999.84998,999.84998,999.84998,000,999.84998
2017-01-25,931.20001,1006.00,931.20001,999.84998,3874900,999.84998
2017-01-24,934.95001,934.95001,921.00,929.75,826200,929.75
2017-01-23,909.40002,931.70001,905.15002,929.65002,829600,929.65002
2017-01-20,924.79999,930.00,904.00,907.70001,697800,907.70001
2017-01-19,929.79999,932.29999,916.00,926.29999,598900,926.29999
2017-01-18,918.70001,938.00,915.00,930.34998,1525100,930.34998
2017-01-17,923.90002,924.59998,910.50,914.34998,849500,914.34998
2017-01-16,900.00,920.09998,894.45001,917.70001,1117500,917.70001
2017-01-13,893.20001,905.50,888.09998,900.04999,821100,900.04999
2017-01-12,902.50,909.95001,886.00,891.20001,737700,891.20001
2017-01-11,905.00,909.50,891.00,896.15002,2005100,896.15002
2017-01-10,884.70001,901.95001,880.04999,899.75,1147200,899.75
2017-01-09,887.79999,893.75,875.09998,878.25,615300,878.25
2017-01-06,911.00,914.90002,875.90002,878.45001,4040600,878.45001
2017-01-05,883.34998,903.00,875.04999,899.75,1423400,899.75
2017-01-04,887.09998,891.00,868.00,871.90002,971400,871.90002
2017-01-03,870.00,889.00,859.25,884.00,1260200,884.00
2017-01-02,852.00,873.90002,842.00,870.04999,949900,870.04999
2016-12-30,840.00,854.70001,833.00,842.20001,842500,842.20001
2016-12-29,820.00,839.75,816.25,833.34998,1594000,833.34998
2016-12-28,816.34998,840.90002,811.00,820.20001,2124600,820.20001
2016-12-27,811.00,827.90002,799.34998,809.75,3505500,809.75
2016-12-26,810.00,821.29999,782.04999,810.00,2133900,810.00
2016-12-23,776.70001,827.90002,761.29999,808.95001,3365200,808.95001
2016-12-22,784.79999,784.79999,760.50,765.40002,1836200,765.40002
2016-12-21,811.00,814.79999,783.04999,788.59998,1608200,788.59998
2016-12-20,825.00,829.50,786.29999,805.79999,2029600,805.79999
2016-12-19,853.20001,853.20001,818.90002,822.90002,808300,822.90002
2016-12-16,860.90002,863.00,848.00,850.79999,626400,850.79999
2016-12-15,835.09998,866.90002,831.04999,853.79999,833400,853.79999
2016-12-14,839.70001,857.84998,832.79999,848.75,1423500,848.75
2016-12-13,820.00,843.40002,805.00,836.75,2913900,836.75
2016-12-12,896.75,896.75,834.00,843.59998,2395400,843.59998
2016-12-09,913.79999,917.70001,891.54999,896.34998,651700,896.34998
2016-12-08,908.00,915.90002,904.09998,911.54999,1001900,911.54999
2016-12-07,906.70001,910.75,875.65002,891.04999,888000,891.04999
2016-12-06,903.29999,923.90002,893.29999,898.04999,878400,898.04999
2016-12-05,887.00,907.79999,885.00,902.25,797800,902.25
2016-12-02,904.00,910.00,880.00,886.50,1818200,886.50
2016-12-01,926.00,929.90002,910.00,914.20001,997400,914.20001
2016-11-30,910.00,927.84998,909.04999,919.79999,1775300,919.79999
2016-11-29,884.50,926.29999,883.90002,907.25,2546400,907.25
2016-11-28,876.20001,899.00,857.79999,879.25,1818800,879.25
2016-11-25,831.00,884.00,823.25,877.90002,1623000,877.90002
2016-11-24,847.50,850.84998,816.15002,820.70001,1613000,820.70001
2016-11-23,871.00,871.45001,844.50,850.25,1161500,850.25
2016-11-22,850.04999,863.00,830.25,858.00,1434000,858.00
2016-11-21,891.45001,891.45001,815.50,832.20001,2076700,832.20001
2016-11-18,872.00,901.45001,865.00,878.40002,1647200,878.40002
2016-11-17,903.50,903.50,860.00,871.15002,1929300,871.15002
2016-11-16,827.00,942.70001,803.54999,899.79999,7757300,899.79999
2016-11-15,868.59998,868.59998,762.29999,815.04999,4368300,815.04999
2016-11-14,858.09998,858.09998,858.09998,858.09998,000,858.09998
2016-11-11,920.00,920.00,850.00,858.09998,2780600,858.09998
2016-11-10,950.00,979.29999,923.90002,929.20001,1753900,929.20001
2016-11-09,920.00,934.50,836.15002,929.15002,3384800,929.15002
2016-11-08,996.70001,1001.90002,972.00,983.70001,960300,983.70001
2016-11-07,1009.79999,1028.40002,985.20001,990.40002,1063200,990.40002
