Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,1070.05005,1071.00,1049.19995,1058.34998,428000,1058.34998
2017-02-24,1071.50,1071.50,1071.50,1071.50,000,1071.50
2017-02-23,1063.00,1095.00,1063.00,1071.50,1400600,1071.50
2017-02-22,1082.00,1083.94995,1061.00,1064.80005,530100,1064.80005
2017-02-21,1077.00,1086.94995,1065.00,1081.00,511200,1081.00
2017-02-20,1064.00,1083.84998,1052.59998,1076.30005,639800,1076.30005
2017-02-17,1082.00,1084.30005,1058.00,1061.05005,646000,1061.05005
2017-02-16,1028.00,1091.50,1021.65002,1081.09998,1954700,1081.09998
2017-02-15,1030.09998,1050.00,1011.00,1019.75,842900,1017.24998
2017-02-14,1047.00,1049.00,1032.65002,1039.25,698400,1036.70218
2017-02-13,1012.00,1047.00,1012.00,1040.90002,1072900,1038.34816
2017-02-10,1025.94995,1036.50,1005.00,1011.54999,1281900,1009.07007
2017-02-09,969.50,1023.65002,968.09998,1017.75,1746500,1015.25489
2017-02-08,983.79999,1002.90002,960.00,967.04999,3045500,964.67917
2017-02-07,992.00,994.65002,974.00,981.54999,588400,979.14362
2017-02-06,970.09998,992.00,970.09998,989.15002,1261900,986.72503
2017-02-03,969.75,976.65002,945.00,948.79999,521200,946.47391
2017-02-02,969.50,985.00,957.65002,969.75,873400,967.37256
2017-02-01,932.15002,975.54999,930.00,972.65002,1013600,970.26548
2017-01-31,951.45001,951.45001,926.20001,931.95001,388600,929.66524
2017-01-30,945.00,954.54999,941.29999,951.45001,319300,949.11744
2017-01-27,953.90002,964.65002,940.50,945.75,577600,943.4314
2017-01-26,952.65002,952.65002,952.65002,952.65002,000,950.31451
2017-01-25,942.00,962.00,938.70001,952.65002,1399800,950.31451
2017-01-24,935.20001,944.70001,932.54999,941.25,254200,938.94243
2017-01-23,915.00,939.95001,915.00,935.09998,311100,932.80749
2017-01-20,943.45001,949.40002,918.59998,924.45001,406300,922.18363
2017-01-19,945.00,950.00,938.00,943.45001,346800,941.13705
2017-01-18,938.79999,953.00,935.09998,941.15002,430900,938.8427
2017-01-17,941.79999,944.00,932.59998,934.75,267400,932.45837
2017-01-16,944.79999,944.79999,932.75,935.65002,475900,933.35619
2017-01-13,952.00,956.79999,937.54999,943.59998,452200,941.28665
2017-01-12,957.00,964.95001,948.45001,951.50,845000,949.1673
2017-01-11,934.75,959.20001,923.20001,952.00,1159100,949.66608
2017-01-10,908.00,935.00,907.00,930.75,1042200,928.46817
2017-01-09,916.70001,922.90002,904.00,907.40002,567400,905.17544
2017-01-06,935.00,935.65002,908.65002,912.09998,835200,909.86387
2017-01-05,915.20001,929.95001,915.20001,922.34998,645500,920.08874
2017-01-04,928.50,929.90002,910.29999,913.75,670700,911.50985
2017-01-03,933.00,936.79999,917.00,922.09998,610100,919.83936
2017-01-02,908.00,932.00,908.00,924.50,1105900,922.2335
2016-12-30,915.00,925.00,902.54999,906.54999,600500,904.32749
2016-12-29,899.65002,914.50,894.79999,907.50,999900,905.27517
2016-12-28,910.00,916.00,897.00,900.00,556900,897.79356
2016-12-27,876.00,914.90002,870.29999,909.40002,666200,907.17054
2016-12-26,914.00,914.00,878.00,881.50,419200,879.33892
2016-12-23,905.09998,918.84998,900.50,911.95001,842800,909.71428
2016-12-22,921.00,926.00,909.09998,912.95001,809500,910.71183
2016-12-21,954.90002,954.90002,927.09998,930.45001,893300,928.16892
2016-12-20,972.00,972.00,942.75,949.90002,820000,947.57125
2016-12-19,974.00,978.65002,956.00,967.25,862900,964.87869
2016-12-16,983.00,990.25,966.65002,969.75,722300,967.37256
2016-12-15,967.00,994.50,964.54999,975.40002,813400,973.00874
2016-12-14,1005.00,1008.45001,971.00,974.25,986500,971.86153
2016-12-13,960.00,1003.95001,952.54999,999.04999,2258800,996.60072
2016-12-12,963.00,973.04999,949.00,968.09998,907000,965.72658
2016-12-09,967.00,971.90002,948.20001,960.59998,820000,958.24497
2016-12-08,930.00,970.70001,926.40002,963.50,2168300,961.13788
2016-12-07,903.00,925.90002,898.54999,915.25,1212200,913.00617
2016-12-06,895.15002,907.90002,891.50,896.79999,907100,894.60139
2016-12-05,865.00,877.45001,860.40002,873.29999,363300,871.15901
2016-12-02,880.00,906.75,869.20001,872.95001,790900,870.80989
2016-12-01,908.00,911.00,895.50,897.79999,420200,895.59894
2016-11-30,892.79999,911.00,878.79999,903.50,4521400,901.28498
2016-11-29,906.00,918.34998,896.40002,901.34998,541000,899.14023
2016-11-28,906.00,924.00,895.54999,908.79999,555100,906.57197
2016-11-25,921.95001,932.00,905.50,909.84998,992400,907.61939
2016-11-24,896.95001,919.00,887.50,913.75,1112700,911.50985
2016-11-23,876.45001,903.59998,871.25,897.90002,404500,895.69873
2016-11-22,858.09998,881.00,845.04999,876.45001,643300,874.30131
2016-11-21,908.79999,913.70001,855.65002,858.00,506100,855.89653
2016-11-18,903.00,923.40002,900.00,906.84998,810800,904.62674
2016-11-17,904.00,915.95001,893.09998,899.75,487600,897.54417
2016-11-16,904.00,924.00,893.00,901.50,1372200,899.28988
2016-11-15,862.84998,902.25,844.00,892.50,1409700,890.31195
2016-11-14,862.84998,862.84998,862.84998,862.84998,000,860.73461
2016-11-11,870.00,896.40002,856.79999,862.84998,701500,860.73461
2016-11-10,888.50,904.00,876.00,880.84998,689300,878.69048
2016-11-09,789.90002,892.40002,764.65002,877.70001,1686300,875.54824
2016-11-08,863.79999,878.50,841.50,849.59998,2574400,847.5171
2016-11-07,838.00,873.79999,837.70001,858.65002,613200,856.54496
2016-11-04,845.00,852.20001,826.50,833.95001,545200,831.9055
2016-11-03,853.59998,868.84998,848.04999,850.09998,433100,848.01587
2016-11-02,859.95001,869.90002,850.00,853.54999,493800,851.45743
2016-11-01,885.90002,886.00,864.25,866.70001,316700,864.57521
2016-10-31,884.90002,884.90002,884.90002,884.90002,000,882.7306
2016-10-28,859.90002,888.70001,858.00,884.90002,622300,882.7306
2016-10-27,872.09998,878.04999,853.00,856.40002,689700,854.30048
2016-10-26,878.00,887.70001,868.25,871.84998,550300,869.71255
2016-10-25,887.75,888.79999,871.65002,876.29999,439100,874.15165
2016-10-24,897.79999,898.50,883.54999,886.75,407400,884.57604
2016-10-21,894.00,899.00,882.70001,889.65002,556100,887.46896
2016-10-20,904.00,907.00,891.20001,894.04999,325700,891.85814
2016-10-19,914.50,917.95001,895.50,901.40002,523600,899.19015
2016-10-18,895.00,912.00,885.00,905.25,639300,903.03069
2016-10-17,922.25,922.25,884.09998,889.70001,496500,887.51882
2016-10-14,921.95001,925.50,913.04999,916.20001,371200,913.95386
2016-10-13,933.90002,936.79999,903.25,913.84998,902200,911.60958
2016-10-12,936.84998,936.84998,936.84998,936.84998,000,934.5532
2016-10-11,936.84998,936.84998,936.84998,936.84998,000,934.5532
2016-10-10,966.00,978.00,932.34998,936.84998,1328400,934.5532
2016-10-07,951.84998,959.50,938.15002,956.50,1213900,954.15505
2016-10-06,926.00,944.00,914.00,930.84998,882600,928.56791
2016-10-05,917.79999,936.65002,881.00,925.04999,1252200,922.78214
2016-10-04,944.65002,948.09998,921.00,924.40002,770700,922.13377
2016-10-03,923.00,944.00,912.20001,940.54999,772200,938.24414
2016-09-30,898.00,924.79999,890.25,910.79999,851900,908.56707
2016-09-29,938.00,944.09998,855.59998,898.40002,2291200,896.19751
2016-09-28,954.84998,959.29999,939.04999,943.45001,844000,941.13705
2016-09-27,943.45001,957.40002,942.04999,947.40002,789100,945.07738
2016-09-26,939.65002,960.90002,933.50,938.70001,1044500,936.3987
2016-09-23,928.65002,969.20001,924.29999,943.15002,1820300,940.8378
2016-09-22,914.90002,927.25,899.09998,924.84998,995300,922.58261
2016-09-21,890.00,906.79999,890.00,901.04999,765200,898.84097
2016-09-20,909.84998,909.84998,887.09998,892.54999,730400,890.36181
2016-09-19,875.90002,907.20001,874.59998,904.15002,1156700,901.93341
2016-09-16,878.70001,884.00,865.50,875.34998,794400,873.20397
