Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,3231.00,3268.8999,3218.8501,3259.1001,130500,3259.1001
2017-02-24,3227.00,3227.00,3227.00,3227.00,000,3227.00
2017-02-23,3242.05,3278.95,3213.55,3227.00,210400,3227.00
2017-02-22,3242.00,3264.00,3226.8501,3238.70,115200,3238.70
2017-02-21,3266.70,3275.50,3215.20,3239.05,98000,3239.05
2017-02-20,3262.00,3267.25,3236.05,3256.8999,57100,3256.8999
2017-02-17,3239.1001,3254.80,3205.55,3247.75,157400,3247.75
2017-02-16,3190.00,3238.3999,3182.75,3230.75,79900,3230.75
2017-02-15,3233.00,3243.00,3171.00,3194.3501,136300,3194.3501
2017-02-14,3280.00,3280.00,3210.20,3224.45,188400,3224.45
2017-02-13,3245.00,3296.00,3222.1001,3271.70,201900,3271.70
2017-02-10,3231.00,3270.00,3223.25,3239.3501,211100,3239.3501
2017-02-09,3228.30,3254.6499,3205.30,3225.95,112700,3225.95
2017-02-08,3230.8501,3266.20,3192.05,3233.00,129000,3233.00
2017-02-07,3290.00,3290.00,3210.00,3230.6001,113800,3230.6001
2017-02-06,3230.8501,3294.3999,3230.8501,3285.00,134100,3285.00
2017-02-03,3223.1001,3273.8501,3210.00,3230.8501,135600,3230.8501
2017-02-02,3240.00,3254.6499,3189.70,3231.00,230800,3231.00
2017-02-01,3133.70,3249.80,3112.75,3234.75,211200,3234.75
2017-01-31,3150.00,3150.00,3109.00,3130.45,154900,3130.45
2017-01-30,3128.00,3151.3999,3100.20,3145.70,130200,3145.70
2017-01-27,3134.00,3162.00,3091.00,3102.95,134700,3102.95
2017-01-26,3134.8999,3134.8999,3134.8999,3134.8999,000,3134.8999
2017-01-25,3125.00,3148.00,3098.00,3134.8999,95000,3134.8999
2017-01-24,3096.30,3150.50,3081.6499,3148.3501,151800,3148.3501
2017-01-23,3065.20,3115.00,3065.20,3093.1001,72000,3093.1001
2017-01-20,3117.8999,3135.1001,3064.1001,3078.30,112900,3078.30
2017-01-19,3091.00,3155.00,3066.75,3107.95,257500,3107.95
2017-01-18,3018.00,3098.70,3014.8999,3091.55,269600,3091.55
2017-01-17,2968.70,3020.20,2955.1001,3013.55,164700,3013.55
2017-01-16,2935.00,2979.80,2923.00,2965.75,106500,2965.75
2017-01-13,2969.00,2985.00,2925.00,2940.00,104300,2940.00
2017-01-12,2984.95,2994.95,2918.3999,2947.80,130000,2947.80
2017-01-11,2885.00,2985.00,2885.00,2970.1001,345800,2970.1001
2017-01-10,2899.00,2903.00,2875.95,2880.80,273000,2880.80
2017-01-09,2920.00,2922.30,2875.55,2897.8999,172100,2897.8999
2017-01-06,2865.00,2915.00,2845.80,2894.95,397700,2894.95
2017-01-05,2862.00,2875.00,2852.6001,2865.80,116300,2865.80
2017-01-04,2890.00,2890.00,2830.45,2852.3999,136600,2852.3999
2017-01-03,2887.00,2890.00,2851.20,2872.25,127500,2872.25
2017-01-02,2901.1001,2901.1001,2865.1499,2886.45,52200,2886.45
2016-12-30,2905.00,2922.00,2870.00,2886.30,110300,2886.30
2016-12-29,2835.00,2898.00,2828.8999,2883.1499,90100,2883.1499
2016-12-28,2830.00,2888.00,2830.00,2839.6001,123500,2839.6001
2016-12-27,2810.25,2856.8501,2781.55,2826.8501,78600,2826.8501
2016-12-26,2829.8999,2831.3999,2780.00,2807.30,68000,2807.30
2016-12-23,2810.05,2841.1499,2772.8501,2831.20,91300,2831.20
2016-12-22,2840.00,2849.25,2799.8501,2810.6499,92500,2810.6499
2016-12-21,2872.1001,2899.00,2827.80,2847.70,200800,2847.70
2016-12-20,2902.00,2909.80,2866.00,2872.1001,200500,2872.1001
2016-12-19,2900.00,2914.75,2865.50,2899.6001,110000,2899.6001
2016-12-16,2923.25,2938.1499,2881.8999,2895.30,194000,2895.30
2016-12-15,2932.00,2954.00,2907.50,2920.20,108200,2920.20
2016-12-14,2940.00,2968.00,2935.00,2941.6499,116800,2941.6499
2016-12-13,2997.8501,2997.8501,2924.95,2938.6499,192000,2938.6499
2016-12-12,3025.50,3028.50,2970.1001,2977.05,137300,2977.05
2016-12-09,3041.8999,3062.80,3021.1001,3025.3501,317700,3025.3501
2016-12-08,3013.00,3068.00,3001.00,3038.75,84600,3038.75
2016-12-07,3018.00,3044.6001,2982.00,2994.75,117600,2994.75
2016-12-06,3069.6001,3074.00,2997.1001,3004.45,89600,3004.45
2016-12-05,2980.00,3082.80,2980.00,3066.3999,108500,3066.3999
