Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,435.00,446.39999,432.00,437.60001,2290800,437.60001
2017-02-24,430.70001,430.70001,430.70001,430.70001,000,430.70001
2017-02-23,431.20001,440.00,426.10001,430.70001,2508300,430.70001
2017-02-22,443.00,445.00,431.89999,434.20001,1183100,434.20001
2017-02-21,445.00,450.20001,438.00,439.60001,1803700,439.60001
2017-02-20,447.04999,452.00,437.20001,443.64999,2419300,443.64999
2017-02-17,447.00,460.75,438.00,450.04999,11906500,450.04999
2017-02-16,359.95001,441.00,356.10001,429.50,8717300,429.50
2017-02-15,367.00,367.10001,356.50,358.39999,600600,358.39999
2017-02-14,372.10001,375.00,363.20001,365.25,584500,365.25
2017-02-13,365.95001,374.00,362.00,373.14999,518000,373.14999
2017-02-10,368.00,368.10001,363.00,364.10001,682700,364.10001
2017-02-09,376.39999,376.39999,365.10001,366.25,822600,366.25
2017-02-08,367.10001,373.75,364.25,372.60001,617900,372.60001
2017-02-07,370.14999,372.50,363.95001,366.54999,398000,366.54999
2017-02-06,365.79999,377.00,365.00,368.00,1070800,368.00
2017-02-03,364.50,368.64999,357.64999,365.04999,677000,365.04999
2017-02-02,350.60001,366.89999,348.00,365.25,1110300,365.25
2017-02-01,350.00,355.25,348.64999,352.04999,1288700,352.04999
2017-01-31,379.85001,380.00,329.39999,350.54999,4568000,350.54999
2017-01-30,364.75,376.89999,363.35001,375.95001,946100,375.95001
2017-01-27,359.79999,368.00,359.60001,362.45001,615100,362.45001
2017-01-26,357.45001,357.45001,357.45001,357.45001,000,357.45001
2017-01-25,360.60001,361.79999,355.39999,357.45001,930200,357.45001
2017-01-24,360.00,361.45001,353.75,359.70001,666100,359.70001
2017-01-23,358.00,361.25,353.85001,357.85001,576300,357.85001
2017-01-20,365.00,365.64999,353.45001,359.20001,826900,359.20001
2017-01-19,360.85001,364.25,358.10001,361.95001,4660600,361.95001
2017-01-18,353.79999,359.39999,351.00,356.39999,1051500,356.39999
2017-01-17,348.00,352.00,348.00,349.60001,494400,349.60001
2017-01-16,348.00,352.95001,347.04999,349.70001,599800,349.70001
2017-01-13,354.00,356.54999,345.70001,349.85001,1090400,349.85001
2017-01-12,352.10001,352.10001,345.79999,349.79999,1028400,349.79999
2017-01-11,358.29999,362.70001,355.45001,356.45001,702200,356.45001
2017-01-10,360.00,363.29999,353.25,355.75,889700,355.75
2017-01-09,377.70001,377.70001,357.85001,361.60001,1310300,361.60001
2017-01-06,370.00,381.79999,368.25,379.45001,905300,379.45001
2017-01-05,362.50,368.25,361.20001,367.10001,482700,367.10001
2017-01-04,355.89999,364.70001,354.45001,362.04999,541000,362.04999
2017-01-03,357.00,358.50,353.00,354.79999,361300,354.79999
2017-01-02,357.89999,360.89999,351.54999,354.50,479200,354.50
2016-12-30,352.95001,358.04999,352.95001,356.64999,308700,356.64999
2016-12-29,343.89999,352.25,339.85001,350.70001,1255300,350.70001
2016-12-28,349.89999,358.54999,343.04999,349.79999,696400,349.79999
2016-12-27,341.50,354.00,335.39999,350.75,543000,350.75
2016-12-26,338.00,343.39999,329.45001,338.79999,659300,338.79999
2016-12-23,358.79999,359.79999,328.79999,336.85001,1094900,336.85001
2016-12-22,368.04999,368.95001,354.25,355.85001,404900,355.85001
2016-12-21,371.50,373.89999,366.50,367.79999,318000,367.79999
2016-12-20,373.00,375.25,368.64999,370.95001,355400,370.95001
2016-12-19,375.00,380.50,370.45001,371.35001,288500,371.35001
2016-12-16,381.00,384.00,374.00,376.20001,505500,376.20001
2016-12-15,383.89999,386.75,379.00,380.14999,245700,380.14999
2016-12-14,383.00,388.70001,379.00,384.00,476300,384.00
2016-12-13,388.00,391.00,381.14999,383.50,477400,383.50
2016-12-12,392.95001,393.20001,387.20001,390.20001,289500,390.20001
2016-12-09,398.39999,399.00,388.25,391.39999,328900,391.39999
2016-12-08,391.04999,398.70001,385.00,395.70001,428600,395.70001
2016-12-07,397.85001,398.85001,387.20001,391.04999,606000,391.04999
2016-12-06,398.89999,401.00,393.00,394.14999,305300,394.14999
2016-12-05,400.00,403.85001,395.29999,397.85001,470300,397.85001
2016-12-02,398.29999,401.25,390.95001,395.79999,413500,395.79999
2016-12-01,401.95001,408.35001,397.25,399.95001,343700,399.95001
2016-11-30,397.60001,406.00,393.39999,401.70001,1264200,401.70001
2016-11-29,412.00,414.75,396.00,397.54999,563800,397.54999
2016-11-28,406.14999,414.00,402.75,410.85001,453800,410.85001
2016-11-25,398.04999,410.50,395.70001,405.20001,762400,405.20001
2016-11-24,391.54999,403.20001,382.70001,396.25,1360800,396.25
2016-11-23,375.00,393.50,370.35001,392.04999,812200,392.04999
2016-11-22,365.89999,374.00,365.00,371.20001,472600,371.20001
2016-11-21,373.00,375.79999,362.64999,365.89999,411500,365.89999
2016-11-18,367.20001,376.95001,360.14999,372.50,770600,372.50
2016-11-17,374.95001,381.04999,366.14999,369.14999,320100,369.14999
2016-11-16,361.79999,386.50,347.10001,373.45001,1521900,373.45001
2016-11-15,380.00,380.25,352.35001,358.25,786900,358.25
2016-11-14,380.25,380.25,380.25,380.25,000,380.25
2016-11-11,396.00,404.04999,376.75,380.25,690300,380.25
2016-11-10,389.45001,416.60001,387.10001,400.54999,1235800,400.54999
2016-11-09,357.00,385.85001,338.00,383.95001,660800,383.95001
2016-11-08,384.20001,387.95001,372.85001,374.64999,829000,374.64999
2016-11-07,392.10001,402.85001,380.20001,383.75,642000,383.75
2016-11-04,396.00,399.75,376.25,390.00,1637900,390.00
2016-11-03,405.00,412.89999,394.50,396.60001,426000,396.60001
2016-11-02,419.00,421.00,404.14999,405.45001,382900,405.45001
2016-11-01,418.00,429.79999,416.04999,424.50,798000,424.50
2016-10-31,422.95001,422.95001,422.95001,422.95001,000,422.95001
2016-10-28,395.00,427.00,394.39999,422.95001,2184900,422.95001
2016-10-27,393.50,398.00,386.25,395.10001,753100,395.10001
2016-10-26,409.04999,409.14999,373.64999,388.20001,4057900,388.20001
2016-10-25,389.89999,409.79999,389.00,407.85001,1079600,407.85001
2016-10-24,392.50,393.89999,388.85001,389.29999,308600,389.29999
2016-10-21,388.39999,392.45001,387.70001,391.60001,138900,391.60001
2016-10-20,391.00,393.25,386.64999,388.25,217300,388.25
2016-10-19,394.89999,396.10001,390.00,391.14999,207400,391.14999
2016-10-18,390.64999,395.50,388.39999,394.50,288400,394.50
2016-10-17,392.00,399.00,386.54999,390.14999,404000,390.14999
2016-10-14,394.10001,398.00,387.64999,392.00,392400,392.00
2016-10-13,388.75,398.25,382.39999,393.70001,540000,393.70001
2016-10-12,388.25,388.25,388.25,388.25,000,388.25
2016-10-11,388.25,388.25,388.25,388.25,000,388.25
2016-10-10,390.35001,392.45001,385.00,388.25,188200,388.25
2016-10-07,389.25,391.00,386.64999,389.85001,261600,389.85001
2016-10-06,389.39999,393.60001,385.00,387.14999,465800,387.14999
2016-10-05,390.04999,393.29999,387.60001,388.89999,397800,388.89999
2016-10-04,391.10001,394.29999,388.50,389.35001,471600,389.35001
2016-10-03,391.00,398.10001,389.20001,390.50,415000,390.50
2016-09-30,385.10001,392.14999,355.79999,387.79999,348200,387.79999
2016-09-29,399.35001,402.79999,368.10001,386.70001,895000,386.70001
2016-09-28,397.89999,403.00,396.00,398.85001,421300,398.85001
2016-09-27,394.79999,405.64999,394.79999,397.39999,1082900,397.39999
2016-09-26,393.04999,399.60001,391.95001,394.04999,461500,394.04999
2016-09-23,392.89999,398.75,390.10001,394.79999,707200,394.79999
2016-09-22,393.00,397.29999,389.70001,392.04999,864000,392.04999
2016-09-21,393.95001,398.00,387.54999,391.39999,698700,391.39999
2016-09-20,387.75,412.54999,368.39999,392.95001,1479000,392.95001
2016-09-19,388.20001,393.50,385.85001,387.75,830000,387.75
2016-09-16,384.00,391.85001,384.00,388.20001,619400,388.20001
2016-09-15,391.00,396.10001,384.45001,385.25,410000,385.25
2016-09-14,386.50,394.95001,383.25,391.35001,568500,391.35001
2016-09-13,382.79999,382.79999,382.79999,382.79999,000,382.79999
2016-09-12,385.39999,385.95001,374.00,382.79999,306400,382.79999
2016-09-09,394.54999,401.00,386.50,389.85001,1178500,389.85001
2016-09-08,381.60001,394.95001,381.10001,392.20001,1056400,392.20001
2016-09-07,383.70001,388.45001,380.54999,381.79999,569000,381.79999
2016-09-06,388.00,388.00,379.45001,383.64999,763300,383.64999
2016-09-05,384.54999,384.54999,384.54999,384.54999,000,384.54999
2016-09-02,376.95001,391.39999,373.04999,384.54999,1130000,384.54999
2016-09-01,381.00,383.14999,373.75,375.25,424300,375.25
2016-08-31,387.00,391.00,378.10001,380.89999,1144400,380.89999
2016-08-30,382.64999,389.00,382.64999,386.20001,534400,386.20001
2016-08-29,381.00,382.00,376.00,380.89999,375400,380.89999
2016-08-26,385.10001,389.00,375.60001,382.00,838000,382.00
2016-08-25,376.60001,393.00,374.85001,383.85001,1913800,383.85001
2016-08-24,372.10001,381.14999,371.10001,376.35001,548200,376.35001
2016-08-23,369.14999,375.00,367.35001,372.14999,332800,372.14999
2016-08-22,373.39999,375.95001,367.20001,369.14999,383100,369.14999
2016-08-19,368.00,375.79999,368.00,373.04999,946000,373.04999
2016-08-18,374.00,374.95001,365.75,367.95001,458000,367.95001
2016-08-17,364.89999,375.50,363.75,374.00,629400,374.00
2016-08-16,369.50,380.00,359.04999,364.00,1464300,364.00
2016-08-15,369.50,369.50,369.50,369.50,000,369.50
2016-08-12,372.14999,377.79999,367.50,369.50,502300,369.50
2016-08-11,369.29999,374.35001,367.29999,372.35001,399000,372.35001
2016-08-10,380.00,382.50,369.00,371.29999,768000,371.29999
2016-08-09,375.25,381.50,372.50,379.39999,1234400,379.39999
2016-08-08,377.89999,378.50,369.00,373.70001,666700,373.70001
2016-08-05,371.00,379.25,366.10001,376.60001,1468300,376.60001
