Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,409.40,409.90,401.15,402.65,994200,402.65
2017-02-24,409.20,409.20,409.20,409.20,000,409.20
2017-02-23,413.25,418.00,405.85,409.20,2842900,409.20
2017-02-22,419.50,421.00,406.80,412.55,2591500,412.55
2017-02-21,412.00,424.00,409.55,419.25,2257000,419.25
2017-02-20,422.70,426.00,408.20,413.20,5044800,413.20
2017-02-17,433.90,435.25,421.90,426.35,1361100,426.35
2017-02-16,419.00,434.50,419.00,431.30,1276200,431.30
2017-02-15,428.20,431.55,417.50,418.90,872600,418.90
2017-02-14,435.00,435.75,425.05,427.65,993700,427.65
2017-02-13,438.50,438.50,430.10,435.15,635300,435.15
2017-02-10,442.50,442.50,435.20,439.45,423600,439.45
2017-02-09,443.50,446.00,436.20,439.75,1086400,439.75
2017-02-08,440.00,443.65,430.90,441.70,1014100,441.70
2017-02-07,438.90,441.45,434.50,438.20,1138800,438.20
2017-02-06,422.00,437.70,421.55,435.00,1367900,435.00
2017-02-03,420.20,425.30,418.25,421.20,556500,421.20
2017-02-02,425.50,426.75,420.10,422.65,877400,422.65
2017-02-01,421.70,428.50,416.20,427.00,962300,427.00
2017-01-31,419.50,422.80,415.10,420.05,1222700,420.05
2017-01-30,424.00,424.00,417.25,420.85,882600,420.85
2017-01-27,424.00,432.20,419.05,423.50,3373100,423.50
2017-01-26,423.85,423.85,423.85,423.85,000,423.85
2017-01-25,413.90,426.60,412.60,423.85,2008500,423.85
2017-01-24,413.70,414.80,407.85,412.80,1506500,412.80
2017-01-23,402.40,413.00,401.50,410.25,2060500,410.25
2017-01-20,387.00,404.70,387.00,401.20,5887000,401.20
2017-01-19,380.00,389.00,375.85,387.75,2370300,387.75
2017-01-18,372.80,381.05,365.40,379.30,4042500,379.30
2017-01-17,381.40,386.85,370.30,372.85,6730200,372.85
2017-01-16,374.00,382.85,371.10,381.40,1911000,381.40
2017-01-13,364.50,373.70,364.50,371.60,1444500,371.60
2017-01-12,371.90,372.40,362.10,363.95,804700,363.95
2017-01-11,369.00,372.00,364.25,370.45,729400,370.45
2017-01-10,367.95,369.70,363.90,367.55,890300,367.55
2017-01-09,360.80,365.95,358.35,364.70,743900,364.70
2017-01-06,361.80,367.60,359.00,360.80,1869400,360.80
2017-01-05,353.00,361.50,345.00,359.55,2533700,359.55
2017-01-04,342.95,355.30,342.25,351.15,1529000,351.15
2017-01-03,343.00,345.35,340.00,342.85,596000,342.85
2017-01-02,345.90,345.90,337.00,341.85,753700,341.85
2016-12-30,331.00,343.45,330.10,342.25,1848400,342.25
2016-12-29,321.20,330.00,320.65,328.35,804200,328.35
2016-12-28,323.25,327.80,319.25,320.15,571000,320.15
2016-12-27,313.65,323.50,310.55,322.05,989100,322.05
2016-12-26,327.50,329.00,312.65,313.55,985500,313.55
2016-12-23,321.00,328.80,317.65,325.55,728800,325.55
2016-12-22,322.10,324.35,316.45,321.80,742800,321.80
2016-12-21,320.50,324.55,318.10,322.10,570900,322.10
2016-12-20,325.35,326.40,315.45,319.15,917200,319.15
2016-12-19,321.00,328.90,320.55,325.35,812800,325.35
2016-12-16,337.00,338.00,320.00,321.95,1590600,321.95
2016-12-15,334.70,342.50,332.40,335.85,830100,335.85
2016-12-14,339.70,343.60,336.10,337.45,562000,337.45
2016-12-13,339.10,340.00,333.60,337.45,724300,337.45
2016-12-12,348.00,348.00,336.40,338.30,694600,338.30
2016-12-09,353.45,354.00,345.15,348.85,708600,348.85
2016-12-08,334.00,354.90,331.50,352.35,2290700,352.35
2016-12-07,331.10,334.00,327.10,330.65,729400,330.65
2016-12-06,340.70,340.85,330.60,332.10,722900,332.10
2016-12-05,334.00,342.30,331.50,337.20,655300,337.20
2016-12-02,331.95,341.80,331.00,333.85,655800,333.85
2016-12-01,345.45,347.75,333.40,334.85,653000,334.85
2016-11-30,345.60,347.90,339.55,344.35,2253600,344.35
