Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,301.10,309.90,301.10,307.15,1865200,307.15
2017-02-24,302.00,302.00,302.00,302.00,000,302.00
2017-02-23,301.90,305.25,296.55,302.00,4867000,302.00
2017-02-22,303.35,308.95,300.75,302.35,1987800,302.35
2017-02-21,303.95,306.75,302.40,303.35,1106500,303.35
2017-02-20,300.95,304.90,297.00,302.50,2391500,302.50
2017-02-17,304.90,305.65,299.05,299.80,2319000,299.80
2017-02-16,294.40,303.80,290.95,302.40,3166700,302.40
2017-02-15,304.75,304.75,292.55,293.15,3034700,293.15
2017-02-14,315.50,315.50,299.85,303.40,4343600,303.40
2017-02-13,317.95,320.55,312.05,314.75,1667500,314.75
2017-02-10,319.80,324.80,308.30,313.70,3795400,313.70
2017-02-09,319.95,320.85,311.70,317.90,2262800,317.90
2017-02-08,312.15,318.05,311.00,317.25,1827600,317.25
2017-02-07,315.05,316.80,309.00,311.00,3024400,311.00
2017-02-06,324.00,326.60,312.60,314.95,2632200,314.95
2017-02-03,320.00,333.20,318.40,321.85,5584700,321.85
2017-02-02,306.00,324.80,302.90,322.55,4514000,322.55
2017-02-01,302.00,307.50,298.20,306.70,1403900,306.70
2017-01-31,301.50,307.50,297.30,298.90,3038200,298.90
2017-01-30,300.75,301.95,295.50,300.35,1051900,300.35
2017-01-27,303.35,304.05,297.65,300.65,1065600,300.65
2017-01-26,300.45,300.45,300.45,300.45,000,300.45
2017-01-25,306.00,306.95,299.55,300.45,2518700,300.45
2017-01-24,297.95,304.90,296.05,303.65,2052400,303.65
2017-01-23,288.90,297.00,288.05,295.10,1265800,295.10
2017-01-20,291.90,293.15,285.40,288.05,1697700,288.05
2017-01-19,289.80,293.80,287.10,293.15,1263200,293.15
2017-01-18,293.00,296.40,286.00,289.55,3645600,289.55
2017-01-17,287.20,289.15,283.10,284.95,1721900,284.95
2017-01-16,279.00,287.80,278.60,285.75,2269600,285.75
2017-01-13,276.85,279.65,272.35,277.60,1539700,277.60
2017-01-12,278.55,280.00,271.20,275.45,1768700,275.45
2017-01-11,276.00,280.40,275.05,278.15,1830500,278.15
2017-01-10,271.50,274.45,270.20,272.85,983300,272.85
2017-01-09,266.35,274.60,266.00,269.95,1984600,269.95
2017-01-06,263.00,267.70,262.50,264.50,2178600,264.50
2017-01-05,256.50,262.65,254.60,261.90,2537500,261.90
2017-01-04,259.80,260.00,250.20,251.30,2186200,251.30
2017-01-03,260.70,261.20,256.65,259.40,865300,259.40
2017-01-02,256.95,260.50,253.65,259.55,784000,259.55
2016-12-30,257.30,259.40,254.40,255.40,953900,255.40
2016-12-29,249.85,259.00,249.45,256.50,1125400,256.50
2016-12-28,254.25,256.05,249.10,249.60,1037300,249.60
2016-12-27,249.85,254.00,247.05,252.40,1445700,252.40
2016-12-26,255.05,257.00,248.50,249.70,1626500,249.70
2016-12-23,261.45,262.00,254.70,258.45,1360500,258.45
2016-12-22,264.15,265.90,260.00,260.95,996400,260.95
2016-12-21,264.70,271.00,263.00,266.80,2216000,266.80
2016-12-20,266.00,269.00,261.35,262.30,2184200,262.30
2016-12-19,279.35,279.85,268.60,269.50,1573800,269.50
2016-12-16,287.00,290.00,279.45,281.15,2402500,281.15
2016-12-15,277.00,288.30,275.50,285.30,2882400,285.30
2016-12-14,278.15,279.15,274.90,276.65,712100,276.65
2016-12-13,281.00,282.00,275.10,278.15,1495500,278.15
2016-12-12,281.00,283.50,277.40,281.05,873800,281.05
2016-12-09,285.00,285.00,279.45,281.15,949700,281.15
2016-12-08,280.50,286.80,277.70,283.65,1927600,283.65
2016-12-07,277.85,281.00,274.00,278.45,1395700,278.45
2016-12-06,276.80,278.50,274.90,275.95,767200,275.95
2016-12-05,274.05,280.60,268.50,275.15,2154200,275.15
2016-12-02,274.00,279.80,270.20,272.55,1054100,272.55
2016-12-01,284.05,284.05,274.05,275.00,1109900,275.00
2016-11-30,278.10,283.95,273.85,282.60,2362700,282.60
2016-11-29,287.95,287.95,277.20,282.35,3989300,282.35
2016-11-28,276.00,287.00,275.50,284.50,4709900,284.50
2016-11-25,276.80,281.40,271.00,273.25,2941700,273.25
2016-11-24,258.80,278.40,258.00,273.35,5610300,273.35
2016-11-23,255.00,259.70,251.25,257.80,2267600,257.80
2016-11-22,249.00,254.55,246.05,253.00,1122500,253.00
2016-11-21,247.05,255.40,242.15,244.45,1687400,244.45
2016-11-18,249.00,251.35,244.00,249.80,2101200,249.80
2016-11-17,240.00,253.50,232.40,250.70,3517700,250.70
2016-11-16,245.85,246.05,236.65,237.95,1433900,237.95
2016-11-15,255.90,256.00,235.35,238.60,2831100,238.60
2016-11-14,249.75,249.75,249.75,249.75,000,249.75
2016-11-11,257.00,260.00,248.10,249.75,1693300,249.75
2016-11-10,258.70,272.00,255.65,258.10,4080500,258.10
2016-11-09,233.30,256.25,221.00,253.45,2150300,253.45
2016-11-08,266.00,266.70,257.30,259.15,1601900,259.15
2016-11-07,262.95,266.55,259.25,262.45,963000,262.45
2016-11-04,268.00,270.70,253.15,255.65,1377900,255.65
2016-11-03,264.30,275.50,264.30,267.20,2132100,267.20
2016-11-02,271.75,273.45,266.30,269.50,3197500,269.50
2016-11-01,255.45,276.20,254.10,272.55,6300700,272.55
2016-10-31,252.95,252.95,252.95,252.95,000,252.95
2016-10-28,250.00,256.00,250.00,252.95,1400600,252.95
2016-10-27,253.00,254.15,248.45,250.80,2261300,250.80
2016-10-26,255.05,257.60,251.00,253.20,1805300,253.20
2016-10-25,254.00,257.80,251.30,254.65,2220800,254.65
2016-10-24,248.25,254.80,247.65,253.25,2271000,253.25
2016-10-21,250.00,252.90,242.50,249.70,1933400,249.70
2016-10-20,260.00,260.00,247.80,249.90,6395600,249.90
2016-10-19,245.95,252.00,245.40,248.10,4325900,248.10
2016-10-18,240.50,248.75,240.05,245.00,3264200,245.00
2016-10-17,245.50,247.35,237.00,240.35,2358300,240.35
2016-10-14,243.10,247.00,241.70,245.75,745300,245.75
2016-10-13,249.90,249.90,240.40,243.35,2464800,243.35
2016-10-12,251.65,251.65,251.65,251.65,000,251.65
2016-10-11,251.65,251.65,251.65,251.65,000,251.65
2016-10-10,251.75,255.65,250.15,251.65,2291900,251.65
2016-10-07,251.80,253.30,248.85,252.00,1400100,252.00
2016-10-06,253.40,258.65,246.85,250.00,1742000,250.00
2016-10-05,253.90,260.35,251.60,253.35,3499800,253.35
2016-10-04,255.00,256.55,248.25,251.95,3082000,251.95
2016-10-03,234.80,262.50,234.05,254.45,7070000,254.45
2016-09-30,227.00,236.40,226.15,233.35,1172600,233.35
2016-09-29,230.10,235.50,225.95,229.15,3159300,229.15
2016-09-28,228.95,232.20,228.05,230.55,1024800,230.55
2016-09-27,230.05,231.05,225.00,228.95,1572400,228.95
2016-09-26,228.00,230.65,224.45,229.70,1586000,229.70
2016-09-23,222.70,229.40,221.60,227.45,3264400,227.45
2016-09-22,223.90,223.90,220.10,223.20,1346600,223.20
2016-09-21,222.75,222.75,218.40,219.75,1248500,219.75
2016-09-20,217.65,222.00,215.00,221.05,1183100,221.05
2016-09-19,212.20,217.90,211.65,216.90,864900,216.90
2016-09-16,219.20,220.95,210.00,211.80,2735000,211.80
2016-09-15,220.45,222.60,217.40,218.80,803400,218.80
2016-09-14,213.50,221.50,212.20,220.35,2059000,220.35
2016-09-13,212.55,212.55,212.55,212.55,000,212.55
2016-09-12,212.50,216.80,210.00,212.55,1144100,212.55
2016-09-09,224.00,224.00,212.40,220.35,1518400,220.35
2016-09-08,229.50,230.05,221.75,223.60,1527200,223.60
2016-09-07,230.10,230.85,226.95,228.35,874200,228.35
2016-09-06,227.85,233.80,227.10,230.20,1388200,230.20
2016-09-05,227.50,227.50,227.50,227.50,000,227.50
2016-09-02,226.15,228.50,224.05,227.50,1212200,227.50
2016-09-01,228.00,228.80,225.00,225.80,833700,225.80
2016-08-31,227.80,228.85,226.00,227.00,834700,227.00
2016-08-30,229.80,232.50,227.40,228.40,796900,228.40
2016-08-29,227.00,232.65,225.20,227.10,1861600,227.10
2016-08-26,225.00,226.10,221.90,224.95,762100,224.95
2016-08-25,227.90,229.40,222.35,223.80,1940700,223.80
2016-08-24,226.20,230.50,226.20,228.20,1103500,228.20
2016-08-23,229.10,231.10,225.00,227.25,1037600,227.25
2016-08-22,228.25,232.50,226.10,230.20,1713200,230.20
2016-08-19,227.95,230.60,223.50,228.95,2115200,228.95
2016-08-18,225.00,228.60,224.00,228.00,867000,228.00
2016-08-17,229.00,229.15,221.10,223.15,1713700,223.15
2016-08-16,219.10,229.65,218.55,228.30,2192000,228.30
2016-08-15,219.35,219.35,219.35,219.35,000,219.35
2016-08-12,218.00,223.45,217.00,219.35,1639300,219.35
2016-08-11,221.80,221.80,215.35,217.15,1907000,217.15
2016-08-10,220.00,225.30,218.35,220.00,2913200,220.00
2016-08-09,221.40,223.40,218.15,220.35,1805500,220.35
2016-08-08,220.80,222.70,218.40,220.95,2016600,220.95
2016-08-05,210.50,223.40,210.50,218.60,6258400,218.60
2016-08-04,210.80,210.90,205.55,208.25,1500000,208.25
2016-08-03,206.40,209.60,204.05,206.70,2084600,206.70
2016-08-02,211.00,214.40,205.80,206.90,1436500,206.90
2016-08-01,206.40,216.15,205.10,211.70,2680800,211.70
2016-07-29,206.55,209.05,203.50,203.95,1109200,203.95
2016-07-28,208.00,210.00,197.80,202.60,2607200,202.60
2016-07-27,204.75,210.80,204.10,208.25,3177500,208.25
2016-07-26,196.85,209.45,196.25,202.60,4831400,202.60
2016-07-25,195.35,200.35,191.00,196.15,4038200,196.15
2016-07-22,195.00,195.00,189.00,193.95,2444800,193.95
2016-07-21,188.65,196.10,188.65,193.90,3916800,193.90
2016-07-20,192.80,196.50,192.30,194.45,2142600,194.45
2016-07-19,190.90,193.75,189.95,192.40,1996200,192.40
2016-07-18,195.00,197.95,185.70,189.05,1774100,189.05
2016-07-15,195.70,197.85,192.70,196.15,1374800,196.15
2016-07-14,193.50,196.45,193.30,195.05,979800,195.05
2016-07-13,196.35,203.60,192.10,193.55,2634200,193.55
2016-07-12,189.90,198.40,189.00,195.40,3177900,195.40
2016-07-11,187.90,190.80,187.60,190.05,1747600,190.05
