Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,1007.29999,1023.00,1006.95001,1012.40002,2664300,1012.40002
2017-02-24,1008.84998,1008.84998,1008.84998,1008.84998,000,1008.84998
2017-02-23,998.90002,1020.00,993.34998,1008.84998,4771300,1008.84998
2017-02-22,1015.00,1015.00,986.40002,990.15002,3303900,990.15002
2017-02-21,1022.09998,1024.50,1000.04999,1013.59998,3806900,1013.59998
2017-02-20,996.50,1031.00,993.50,1010.25,2325300,1010.25
2017-02-17,1013.75,1013.75,992.70001,1000.09998,2425600,1000.09998
2017-02-16,991.00,1013.90002,990.04999,1012.09998,6407900,1012.09998
2017-02-15,989.20001,998.79999,968.79999,981.79999,3629700,981.79999
2017-02-14,980.00,989.00,972.34998,987.70001,4669400,987.70001
2017-02-13,972.84998,986.09998,962.84998,984.34998,6862100,984.34998
2017-02-10,946.25,972.00,943.29999,968.29999,6126200,968.29999
2017-02-09,937.00,950.00,936.54999,946.00,5953600,946.00
2017-02-08,936.00,944.09998,932.45001,936.50,3159900,936.50
2017-02-07,933.00,949.79999,928.54999,942.25,4634000,942.25
2017-02-06,937.25,943.75,930.54999,935.25,3363900,935.25
2017-02-03,933.79999,940.90002,921.04999,936.09998,4211900,936.09998
2017-02-02,917.00,945.00,910.09998,935.90002,5914100,935.90002
2017-02-01,921.09998,923.20001,905.15002,916.75,5765800,916.75
2017-01-31,941.50,941.50,904.34998,928.59998,12034200,928.59998
2017-01-30,937.50,951.50,928.84998,949.34998,5684600,949.34998
2017-01-27,933.84998,947.54999,901.15002,942.15002,5317500,942.15002
2017-01-26,936.59998,936.59998,936.59998,936.59998,000,936.59998
2017-01-25,946.09998,946.79999,934.79999,936.59998,4989000,936.59998
2017-01-24,950.00,950.00,940.09998,945.54999,3413000,945.54999
2017-01-23,945.00,958.00,940.00,952.70001,3974200,952.70001
2017-01-20,950.00,953.15002,946.00,948.70001,4562300,948.70001
2017-01-19,951.00,959.59998,948.09998,958.09998,4438200,958.09998
2017-01-18,958.09998,961.00,949.79999,950.79999,2976400,950.79999
2017-01-17,956.25,964.00,952.40002,955.40002,2780000,955.40002
2017-01-16,965.00,965.45001,952.45001,955.65002,6175600,955.65002
2017-01-13,1030.00,1040.00,962.70001,975.79999,15638100,975.79999
2017-01-12,977.54999,1004.40002,977.54999,1000.04999,5927800,1000.04999
2017-01-11,974.20001,978.45001,963.95001,969.09998,6120700,969.09998
2017-01-10,977.00,981.00,967.95001,970.54999,5969900,970.54999
2017-01-09,972.25,976.95001,965.00,970.34998,5272800,970.34998
2017-01-06,994.90002,998.84998,968.04999,972.25,7196700,972.25
2017-01-05,1001.59998,1009.50,988.75,996.15002,4103500,996.15002
2017-01-04,995.04999,1004.20001,992.25,997.75,3536700,997.75
2017-01-03,1004.09998,1004.90002,982.00,993.84998,3389200,993.84998
2017-01-02,1011.09998,1012.95001,999.34998,1001.09998,1167600,1001.09998
2016-12-30,998.00,1012.00,992.75,1010.59998,3633800,1010.59998
2016-12-29,1003.75,1008.00,988.15002,992.34998,3120000,992.34998
2016-12-28,1002.95001,1009.79999,995.00,998.50,2738400,998.50
2016-12-27,982.75,1001.90002,980.00,998.95001,2456400,998.95001
2016-12-26,988.00,994.00,975.09998,982.75,1606900,982.75
2016-12-23,984.90002,1006.59998,973.59998,988.45001,3653000,988.45001
2016-12-22,1002.50,1007.00,969.50,984.70001,3530000,984.70001
2016-12-21,1016.00,1022.00,998.25,1001.54999,3671900,1001.54999
2016-12-20,1002.00,1019.00,1001.29999,1012.15002,3818200,1012.15002
2016-12-19,1006.09998,1008.25,994.09998,1004.65002,2062000,1004.65002
2016-12-16,1003.79999,1009.70001,997.75,1005.15002,3218300,1005.15002
2016-12-15,997.40002,1018.95001,989.00,992.34998,3983200,992.34998
2016-12-14,991.00,1004.95001,984.09998,999.75,2691300,999.75
2016-12-13,980.50,992.84998,971.09998,990.20001,2427100,990.20001
2016-12-12,982.79999,982.79999,965.20001,977.34998,2672500,977.34998
2016-12-09,985.00,1008.15002,981.50,989.34998,4324100,989.34998
2016-12-08,970.04999,986.09998,970.04999,984.65002,2970800,984.65002
2016-12-07,968.00,973.00,960.20001,966.40002,1692900,966.40002
2016-12-06,961.79999,979.50,961.65002,966.50,1781000,966.50
2016-12-05,965.90002,968.59998,958.00,961.65002,1829700,961.65002
2016-12-02,964.79999,969.59998,961.09998,964.50,2226600,964.50
2016-12-01,976.00,983.54999,967.00,975.59998,2305700,975.59998
2016-11-30,973.00,977.00,961.04999,975.54999,4250400,975.54999
2016-11-29,978.79999,984.70001,967.09998,972.59998,3062700,972.59998
