Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,378.00,387.75,376.25,385.90,4700800,385.90
2017-02-24,385.10,385.10,385.10,385.10,000,385.10
2017-02-23,390.45,392.20,383.45,385.10,9270400,385.10
2017-02-22,393.00,395.25,388.00,390.05,2879800,390.05
2017-02-21,388.00,393.00,386.00,391.30,2706700,391.30
2017-02-20,387.40,388.40,382.50,385.50,2301600,385.50
2017-02-17,382.70,386.55,380.70,385.25,5454500,385.25
2017-02-16,371.05,377.00,366.05,375.95,2406100,375.95
2017-02-15,374.00,380.50,363.35,369.20,3498200,369.20
2017-02-14,381.65,382.20,370.15,374.40,3924800,374.40
2017-02-13,380.35,381.65,374.00,379.90,4304000,379.90
2017-02-10,385.00,385.20,371.50,380.05,6755100,380.05
2017-02-09,386.70,389.00,385.05,387.45,4352600,387.45
2017-02-08,395.00,399.40,393.45,395.75,2559800,382.25
2017-02-07,397.90,404.00,389.50,391.75,6365200,378.3864
2017-02-06,391.10,397.95,390.00,396.50,3687700,382.9744
2017-02-03,384.90,390.75,383.00,387.35,4473300,374.1365
2017-02-02,376.00,387.30,376.00,382.60,5783400,369.5486
2017-02-01,370.00,380.90,366.85,375.45,7326500,362.6425
2017-01-31,377.50,379.75,351.10,366.40,23147800,353.9012
2017-01-30,384.00,388.70,373.00,377.80,3044100,364.9123
2017-01-27,378.50,392.50,378.00,384.05,5448600,370.9491
2017-01-26,380.30,380.30,380.30,380.30,000,367.327
2017-01-25,368.00,386.70,365.10,380.30,11134900,367.327
2017-01-24,357.85,368.15,357.85,366.80,3807300,354.2875
2017-01-23,352.15,360.00,351.00,357.75,3627600,345.5463
2017-01-20,359.75,360.45,350.60,352.35,2984300,340.3305
2017-01-19,348.60,360.60,348.10,359.75,7316000,347.478
2017-01-18,352.30,352.95,347.10,348.60,3880900,336.7084
2017-01-17,354.80,356.55,350.35,351.10,2854000,339.1231
2017-01-16,354.45,357.90,351.55,352.85,3275000,340.8134
2017-01-13,355.00,355.00,347.05,351.45,3025400,339.4612
2017-01-12,352.00,360.00,352.00,354.75,4949900,342.6486
2017-01-11,349.90,351.40,346.50,349.10,6694400,337.1913
2017-01-10,345.40,352.20,345.40,346.70,4977500,334.8732
2017-01-09,348.00,349.00,341.75,342.80,2596200,331.1062
2017-01-06,351.50,355.20,344.70,346.35,2357800,334.5352
2017-01-05,345.00,353.80,344.80,352.55,4222500,340.5236
2017-01-04,345.00,352.00,339.10,342.95,5130700,331.2511
2017-01-03,327.20,348.90,327.00,345.25,6186500,333.4727
2017-01-02,327.80,330.00,325.95,327.45,2131400,316.2799
2016-12-30,322.95,326.95,320.90,325.05,2764600,313.9617
2016-12-29,316.50,325.15,316.50,322.95,8858800,311.9334
2016-12-28,319.05,321.35,315.55,316.20,4585000,305.4137
2016-12-27,308.00,318.35,307.70,317.30,5581400,306.4761
2016-12-26,312.50,313.50,307.05,307.95,1639600,297.4451
2016-12-23,307.00,315.45,304.10,313.25,4493100,302.5643
2016-12-22,308.95,313.45,305.60,306.30,3390200,295.8513
2016-12-21,303.75,309.90,300.45,308.95,4775200,298.411
2016-12-20,305.05,306.00,301.15,302.30,2374000,291.9878
2016-12-19,303.00,306.50,299.20,305.05,5206200,294.644
2016-12-16,295.10,299.30,294.00,296.35,3267500,286.2408
2016-12-15,299.45,306.35,294.55,297.80,5536500,287.6413
2016-12-14,301.45,304.60,298.05,299.15,3413900,288.9453
2016-12-13,296.30,302.30,294.05,301.00,2053000,290.7322
2016-12-12,299.95,301.15,294.70,295.50,1233200,285.4198
2016-12-09,305.00,305.35,298.00,302.60,3082000,292.2776
2016-12-08,306.50,308.90,305.45,306.65,2826100,296.1894
2016-12-07,296.40,304.60,296.40,303.60,4385200,293.2435
2016-12-06,292.55,298.90,290.95,295.65,2154000,285.5646
2016-12-05,293.50,296.20,290.20,290.95,2332800,281.025
2016-12-02,296.70,297.75,291.55,294.95,3902800,284.8885
2016-12-01,306.90,306.90,296.10,297.85,3243000,287.6896
2016-11-30,301.40,308.90,299.80,306.70,4817800,296.2377
2016-11-29,300.00,306.00,297.80,298.70,2433300,288.5106
2016-11-28,296.60,306.45,295.60,300.15,3784700,289.9111
2016-11-25,294.95,299.00,294.95,296.50,2395600,286.3857
2016-11-24,297.55,297.55,289.70,293.95,7166200,283.9227
2016-11-23,298.50,300.00,291.80,298.40,3089400,288.2208
2016-11-22,294.10,298.30,289.80,296.50,2818000,286.3857
2016-11-21,301.50,302.40,290.50,291.85,2018300,281.8943
2016-11-18,294.45,302.40,293.15,300.70,4071700,290.4424
2016-11-17,288.95,297.75,287.75,293.45,4268500,283.4397
2016-11-16,287.10,292.00,281.70,288.50,4471500,278.6586
2016-11-15,307.75,307.85,281.95,285.80,8405500,276.0506
2016-11-14,310.25,310.25,310.25,310.25,000,299.6666
2016-11-11,315.00,317.90,308.35,310.25,2950200,299.6666
2016-11-10,319.00,324.75,319.00,320.30,2223000,309.3738
2016-11-09,296.00,318.90,289.10,316.30,2878900,305.5102
2016-11-08,316.35,319.25,313.05,318.45,1618000,307.5869
2016-11-07,310.85,319.00,309.95,315.75,3168500,304.979
2016-11-04,310.00,311.15,294.20,306.00,3232600,295.5616
2016-11-03,316.55,319.90,309.00,309.75,2049400,299.1837
2016-11-02,323.00,323.00,315.00,316.10,1529700,305.3171
2016-11-01,326.90,327.80,323.50,325.15,2442600,314.0583
2016-10-31,323.50,323.50,323.50,323.50,000,312.4646
2016-10-28,316.50,324.45,313.05,323.50,2847100,312.4646
2016-10-27,321.85,324.50,311.45,312.95,5006900,302.2745
2016-10-26,326.90,328.00,319.75,321.50,2881200,310.5328
2016-10-25,328.40,328.65,323.65,326.90,2502800,315.7486
2016-10-24,325.00,328.45,323.30,327.25,3347600,316.0867
2016-10-21,323.80,325.25,321.05,324.30,2789600,313.2373
2016-10-20,328.00,328.00,318.65,321.30,2962000,310.3397
2016-10-19,324.00,327.60,322.00,326.55,3757300,315.4106
2016-10-18,323.00,324.40,317.40,321.70,3730600,310.726
2016-10-17,324.40,325.275,319.25,321.15,10861000,155.0974
2016-10-14,315.50,323.45,315.50,321.50,9360600,155.2664
2016-10-13,315.75,321.375,310.50,313.325,7977100,151.3184
2016-10-12,317.10,317.10,317.10,317.10,000,153.1415
2016-10-11,317.10,317.10,317.10,317.10,000,153.1415
2016-10-10,322.975,324.55,315.00,317.10,3683500,153.1415
2016-10-07,656.00,666.60,636.70,640.90,6994000,309.5187
2016-10-06,620.40,660.65,619.90,650.20,12032300,314.01
2016-10-05,612.00,619.70,606.00,617.70,4740300,298.3144
2016-10-04,606.80,617.95,606.00,612.65,5569300,295.8755
2016-10-03,587.85,606.75,585.35,603.70,5200400,291.5532
2016-09-30,572.05,585.00,570.95,582.50,3593000,281.3147
2016-09-29,592.95,599.40,571.10,573.50,11255500,276.9683
2016-09-28,587.50,594.45,586.00,591.75,6705400,285.782
2016-09-27,595.00,599.30,583.50,585.65,3373800,282.836
2016-09-26,586.00,599.45,582.50,592.20,7241600,285.9993
2016-09-23,579.70,587.90,577.00,583.30,4583200,281.7011
2016-09-22,576.45,581.00,573.50,579.30,2818900,279.7693
2016-09-21,571.00,579.40,570.10,571.80,4301600,276.1472
2016-09-20,571.95,575.90,569.65,570.50,3767900,275.5194
2016-09-19,572.45,576.65,570.00,571.15,3944500,275.8333
2016-09-16,563.95,573.45,559.50,570.20,9435900,275.3745
2016-09-15,567.00,567.00,557.70,558.80,3849300,269.869
2016-09-14,556.70,569.45,554.90,565.60,5032000,273.153
2016-09-13,552.95,552.95,552.95,552.95,000,267.0438
2016-09-12,557.00,562.25,550.30,552.95,3668100,267.0438
2016-09-09,563.80,570.15,560.80,563.65,4656500,272.2113
2016-09-08,566.20,572.00,561.10,563.85,3254400,272.3078
2016-09-07,573.95,577.10,566.00,567.55,3424200,274.0947
2016-09-06,575.95,578.00,571.25,573.20,3223500,276.8234
2016-09-05,573.45,573.45,573.45,573.45,000,276.9441
2016-09-02,568.60,576.00,565.20,573.45,2937600,276.9441
2016-09-01,580.00,582.30,571.50,575.65,3551600,269.7966
2016-08-31,576.95,579.95,572.40,575.40,6422900,269.6794
2016-08-30,580.00,581.00,569.00,573.55,7758600,268.8123
2016-08-29,576.30,582.90,564.30,571.75,12787100,267.9687
2016-08-26,571.95,577.90,570.25,573.55,3763400,268.8123
2016-08-25,569.75,572.90,558.35,570.10,6413100,267.1954
2016-08-24,546.00,569.50,542.55,564.15,8819400,264.4067
2016-08-23,565.00,565.00,539.20,543.95,5467600,254.9393
2016-08-22,570.25,574.30,558.00,559.80,3339000,262.3679
2016-08-19,563.00,568.20,555.15,566.20,3147600,265.3675
2016-08-18,546.50,563.90,544.80,562.00,3604100,263.399
2016-08-17,546.55,553.85,542.00,544.95,4309200,255.408
2016-08-16,537.00,551.95,535.05,544.55,4509000,255.2205
2016-08-15,538.20,538.20,538.20,538.20,000,252.2444
2016-08-12,544.00,546.70,534.70,538.20,4868800,252.2444
2016-08-11,540.45,553.30,531.35,544.35,7120300,255.1268
2016-08-10,567.00,570.75,536.00,539.00,9524200,252.6194
2016-08-09,584.00,584.95,564.00,565.55,4277300,265.0629
2016-08-08,580.00,593.35,573.80,582.50,7697500,273.007
2016-08-05,550.45,582.90,550.00,575.95,6626500,269.9372
2016-08-04,553.00,556.40,540.45,545.80,4979900,255.8064
2016-08-03,553.05,563.60,548.50,552.15,9587600,258.7825
2016-08-02,546.10,559.45,544.10,555.30,11627400,260.2589
2016-08-01,548.95,552.00,535.25,542.00,4354800,254.0254
2016-07-29,537.10,548.40,533.10,544.40,9064300,255.1503
2016-07-28,538.70,541.35,530.05,532.30,4560500,249.4792
2016-07-27,533.00,543.65,532.05,535.95,4940700,251.1899
2016-07-26,542.15,545.35,530.15,532.80,4977100,249.7135
2016-07-25,528.00,549.90,525.60,537.00,8455700,251.682
2016-07-22,522.15,524.65,513.10,522.30,6422000,244.7924
2016-07-21,521.50,531.80,516.15,521.40,9490600,244.3706
2016-07-20,498.95,515.00,497.10,512.85,14169100,240.3633
2016-07-19,472.00,496.20,472.00,493.55,7713200,231.3178
2016-07-18,479.00,488.35,471.35,472.65,3307800,221.5223
2016-07-15,480.60,482.75,476.10,478.35,1687900,224.1938
2016-07-14,479.95,484.00,478.50,481.60,1577300,225.717
2016-07-13,480.00,484.90,471.20,478.95,3606600,224.475
2016-07-12,478.40,486.20,474.20,476.65,4562400,223.3971
2016-07-11,475.00,482.15,471.25,477.75,3088200,223.9126
2016-07-08,472.30,478.20,465.15,468.40,3572800,219.5304
2016-07-07,477.00,486.00,471.10,473.35,3750100,221.8504
2016-07-06,477.30,477.30,477.30,477.30,000,223.7017
2016-07-05,482.00,488.05,475.00,477.30,4502500,223.7017
2016-07-04,475.00,484.95,474.90,480.80,5730200,225.3421
2016-07-01,442.10,478.00,442.00,474.30,13404100,222.2957
2016-06-30,440.55,445.00,438.00,441.00,4491200,206.6886
2016-06-29,435.25,443.20,430.50,441.35,4678200,206.8526
2016-06-28,425.10,436.00,424.20,434.95,4687400,203.8531
2016-06-27,416.10,428.50,416.10,421.05,2795500,197.3384
2016-06-24,415.70,420.80,409.00,419.05,1988800,196.401
2016-06-23,417.00,423.00,414.05,421.80,2730700,197.6899
