Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,274.00,275.50,270.50,273.04999,9009900,273.04999
2017-02-02,271.00,279.89999,269.50,274.29999,29722600,274.29999
2017-02-01,260.00,270.10001,258.50,269.70001,33840700,269.70001
2017-01-31,256.20001,259.95001,254.60001,258.10001,9995600,258.10001
2017-01-30,258.39999,261.00,255.50,256.10001,8910500,256.10001
2017-01-27,263.50,266.95001,256.10001,257.39999,24497000,257.39999
2017-01-26,265.50,265.50,265.50,265.50,000,265.50
2017-01-25,259.95001,266.39999,259.60001,265.50,17451400,265.50
2017-01-24,259.60001,260.75,257.35001,259.85001,8031700,259.85001
2017-01-23,255.10001,260.14999,255.05,259.64999,10690100,259.64999
2017-01-20,254.25,256.29999,253.70,255.39999,10843900,255.39999
2017-01-19,249.75,254.75,249.55,254.14999,9184400,254.14999
2017-01-18,251.60001,254.30,249.80,250.85001,7254700,250.85001
2017-01-17,248.80,252.30,248.80,251.95,4811600,251.95
2017-01-16,249.25,250.85001,247.10001,248.80,4635400,248.80
2017-01-13,246.00,251.00,242.50,249.64999,4384800,249.64999
2017-01-12,247.70,247.70,244.14999,244.64999,5601000,244.64999
2017-01-11,249.80,250.50,246.60001,247.55,7637200,247.55
2017-01-10,246.00,249.85001,245.70,248.95,11977300,248.95
2017-01-09,242.85001,246.60001,242.10001,245.85001,4854600,245.85001
2017-01-06,247.00,249.00,242.20,242.70,8093200,242.70
2017-01-05,244.50,247.85001,244.10001,246.75,9178600,246.75
2017-01-04,242.85001,247.00,240.10001,245.45,9310100,245.45
2017-01-03,240.89999,245.70,239.25,243.35001,7508900,243.35001
2017-01-02,242.00,242.25,238.60001,240.95,4887500,240.95
2016-12-30,237.45,242.39999,236.30,241.64999,10420000,241.64999
2016-12-29,235.30,237.00,232.30,236.00,14052700,236.00
2016-12-28,232.70,236.39999,232.70,235.45,14166100,235.45
2016-12-27,226.00,234.89999,224.35001,234.05,15605800,234.05
2016-12-26,224.89999,225.85001,222.00,225.00,8735200,225.00
2016-12-23,227.50,227.50,223.80,224.70,10763000,224.70
2016-12-22,225.25,228.39999,224.25,227.55,6420800,227.55
2016-12-21,229.00,229.80,225.50,226.30,12883000,226.30
2016-12-20,228.50,230.80,227.50,229.95,5917500,229.95
2016-12-19,225.35001,229.00,225.35001,227.00,5455300,227.00
2016-12-16,230.80,230.80,226.00,226.35001,12925200,226.35001
2016-12-15,232.00,234.39999,228.50,229.70,5332900,229.70
2016-12-14,236.00,236.50,232.00,233.14999,6313300,233.14999
2016-12-13,234.80,236.89999,232.20,235.64999,7440600,235.64999
2016-12-12,234.20,234.70,231.95,232.30,3038600,232.30
