Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,1494.70,1500.00,1460.10,1465.85,1035900,1465.85
2017-02-24,1486.60,1486.60,1486.60,1486.60,000,1486.60
2017-02-23,1480.00,1506.00,1468.20,1486.60,1450200,1486.60
2017-02-22,1483.00,1488.75,1472.80,1476.95,860800,1476.95
2017-02-21,1476.00,1490.10,1476.00,1483.30,647000,1483.30
2017-02-20,1482.85,1492.00,1475.05,1482.65,736900,1482.65
2017-02-17,1471.05,1485.00,1465.00,1478.00,685700,1478.00
2017-02-16,1483.90,1485.00,1461.05,1470.25,1381200,1470.25
2017-02-15,1492.70,1505.70,1476.15,1480.00,1301600,1480.00
2017-02-14,1505.00,1506.95,1486.00,1492.60,617600,1492.60
2017-02-13,1505.55,1509.00,1481.55,1500.15,620000,1500.15
2017-02-10,1495.25,1508.15,1492.25,1501.95,867300,1501.95
2017-02-09,1508.00,1510.85,1476.40,1490.70,1019500,1490.70
2017-02-08,1504.80,1511.00,1489.25,1506.85,1126500,1506.85
2017-02-07,1480.20,1504.80,1472.15,1500.30,1666300,1500.30
2017-02-06,1485.00,1500.00,1479.40,1483.80,1017800,1483.80
2017-02-03,1476.50,1488.00,1457.00,1480.70,1100300,1480.70
2017-02-02,1491.60,1494.00,1470.30,1476.50,1505200,1476.50
2017-02-01,1447.95,1494.85,1446.30,1490.25,2385000,1490.25
2017-01-31,1440.00,1455.00,1427.00,1446.25,1262700,1446.25
2017-01-30,1443.00,1467.00,1438.00,1442.80,1734300,1442.80
2017-01-27,1451.05,1470.25,1433.35,1439.90,1247400,1439.90
2017-01-26,1449.75,1449.75,1449.75,1449.75,000,1449.75
2017-01-25,1424.80,1454.00,1420.40,1449.75,1529800,1449.75
2017-01-24,1398.25,1424.00,1398.00,1419.80,1253100,1419.80
2017-01-23,1412.00,1413.00,1381.90,1393.55,2356000,1393.55
2017-01-20,1449.45,1453.90,1411.00,1414.75,1451600,1414.75
2017-01-19,1453.00,1463.00,1445.05,1449.45,679900,1449.45
2017-01-18,1446.00,1469.00,1446.00,1452.45,1025400,1452.45
2017-01-17,1440.00,1459.95,1440.00,1445.75,949200,1445.75
2017-01-16,1435.00,1450.00,1432.30,1442.80,701800,1442.80
2017-01-13,1460.00,1460.00,1432.20,1438.75,933800,1438.75
2017-01-12,1414.90,1454.30,1414.00,1449.35,1804900,1449.35
2017-01-11,1398.00,1417.85,1395.00,1412.35,1009600,1412.35
2017-01-10,1380.25,1395.00,1377.55,1387.50,906400,1387.50
