Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,350.50,350.50,344.20001,345.60001,1268600,345.60001
2017-02-24,349.29999,349.29999,349.29999,349.29999,000,349.29999
2017-02-23,352.64999,354.20001,346.20001,349.29999,3462700,349.29999
2017-02-22,351.60001,354.85001,348.75,352.25,1964000,352.25
2017-02-21,351.95001,353.45001,345.35001,350.60001,1106600,350.60001
2017-02-20,351.79999,352.89999,348.79999,351.04999,1014200,351.04999
2017-02-17,348.89999,351.29999,344.60001,349.79999,1512300,349.79999
2017-02-16,341.04999,348.10001,338.89999,347.04999,2257400,347.04999
2017-02-15,352.10001,356.60001,342.14999,343.39999,2376300,343.39999
2017-02-14,352.50,356.29999,347.89999,353.20001,2482100,353.20001
2017-02-13,358.75,358.75,340.20001,350.95001,7476500,350.95001
2017-02-10,351.00,359.39999,350.25,355.89999,3637300,355.89999
2017-02-09,344.95001,350.00,341.75,348.85001,2023400,348.85001
2017-02-08,338.85001,346.64999,338.54999,343.60001,2599100,343.60001
2017-02-07,342.00,342.00,334.04999,338.04999,2611600,338.04999
2017-02-06,343.95001,343.95001,336.14999,339.29999,1639300,339.29999
2017-02-03,334.89999,341.20001,333.54999,340.14999,2706800,340.14999
2017-02-02,337.00,343.60001,332.64999,334.89999,3145800,334.89999
2017-02-01,333.00,337.79999,325.39999,336.60001,2057600,336.60001
2017-01-31,341.54999,343.95001,330.25,331.85001,2042800,331.85001
2017-01-30,343.89999,348.89999,340.50,343.54999,2795100,343.54999
2017-01-27,331.79999,345.50,330.25,344.35001,4007900,344.35001
2017-01-26,331.50,331.50,331.50,331.50,000,331.50
2017-01-25,331.64999,334.35001,329.35001,331.50,2805800,331.50
2017-01-24,324.10001,331.64999,323.64999,330.85001,1933200,330.85001
2017-01-23,329.00,329.00,321.00,323.64999,2958100,323.64999
2017-01-20,323.50,338.50,321.00,326.35001,7717700,326.35001
2017-01-19,331.00,332.14999,324.10001,325.64999,2278000,325.64999
2017-01-18,326.00,331.50,325.45001,330.85001,1345700,330.85001
2017-01-17,329.14999,333.20001,324.70001,326.35001,8925700,326.35001
2017-01-16,326.50,330.75,324.60001,328.70001,989900,328.70001
2017-01-13,332.89999,332.89999,325.00,326.64999,1104600,326.64999
2017-01-12,331.00,333.45001,327.14999,329.75,1140400,329.75
2017-01-11,328.45001,331.60001,325.60001,330.20001,3368100,330.20001
2017-01-10,329.35001,332.54999,324.70001,328.04999,2148200,328.04999
2017-01-09,335.70001,335.70001,328.50,329.25,1342900,329.25
2017-01-06,330.00,337.50,330.00,331.64999,2828700,331.64999
2017-01-05,322.50,329.20001,322.50,328.54999,2158000,328.54999
2017-01-04,323.95001,325.50,319.00,320.89999,1922600,320.89999
2017-01-03,327.25,330.00,321.64999,323.45001,1058900,323.45001
2017-01-02,326.89999,333.54999,324.75,327.85001,1374000,327.85001
2016-12-30,328.95001,329.70001,324.50,326.45001,1419700,326.45001
2016-12-29,312.70001,329.89999,312.64999,327.00,2844200,327.00
2016-12-28,311.79999,316.70001,311.50,314.70001,1571000,314.70001
2016-12-27,310.00,311.79999,304.50,310.25,1028100,310.25
2016-12-26,307.95001,310.00,302.39999,307.14999,1284400,307.14999
2016-12-23,319.00,319.50,307.10001,309.10001,1782600,309.10001
2016-12-22,322.95001,324.39999,318.00,319.10001,1633900,319.10001
2016-12-21,319.70001,324.89999,317.00,322.50,1450300,322.50
2016-12-20,318.60001,322.89999,318.00,318.95001,1345100,318.95001
2016-12-19,324.25,326.20001,319.00,320.35001,1247700,320.35001
