Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,687.30,691.40,680.55,682.40,274800,682.40
2017-02-24,688.15,688.15,688.15,688.15,000,688.15
2017-02-23,697.00,703.00,686.05,688.15,568500,688.15
2017-02-22,702.95,707.00,692.30,695.80,554300,695.80
2017-02-21,703.10,712.00,697.40,699.70,554800,699.70
2017-02-20,686.45,704.80,685.00,697.85,998600,697.85
2017-02-17,673.00,689.00,668.95,683.60,505600,683.60
2017-02-16,671.25,674.45,665.55,671.20,218300,671.20
2017-02-15,671.00,678.00,665.00,670.55,208500,670.55
2017-02-14,681.00,682.15,668.10,671.35,216800,671.35
2017-02-13,671.60,683.80,670.65,679.00,352800,679.00
2017-02-10,664.50,675.00,663.60,671.35,226900,671.35
2017-02-09,670.00,672.60,662.20,663.10,351500,663.10
2017-02-08,674.00,677.00,667.20,670.50,219800,670.50
2017-02-07,670.50,677.70,667.45,673.70,402900,673.70
2017-02-06,672.00,680.85,668.70,671.90,380100,671.90
2017-02-03,676.40,680.00,665.00,673.35,328400,673.35
2017-02-02,687.00,690.00,673.00,676.40,314500,676.40
2017-02-01,678.00,695.00,669.60,691.85,985200,691.85
2017-01-31,679.65,684.00,671.85,673.50,211200,673.50
2017-01-30,679.00,687.70,673.50,678.05,219900,678.05
2017-01-27,695.00,695.70,672.50,678.85,883900,678.85
2017-01-26,689.65,689.65,689.65,689.65,000,689.65
2017-01-25,660.00,701.50,660.00,689.65,3144900,689.65
2017-01-24,635.90,659.80,631.85,656.45,635700,656.45
2017-01-23,625.00,633.20,625.00,629.55,134900,629.55
2017-01-20,630.10,638.15,624.50,626.90,294100,626.90
2017-01-19,635.90,637.65,628.10,629.20,227300,629.20
2017-01-18,627.00,638.95,625.10,635.65,189900,635.65
2017-01-17,636.00,637.75,624.10,627.40,183400,627.40
2017-01-16,640.70,640.70,633.35,635.60,129900,635.60
2017-01-13,639.50,650.80,634.90,640.30,358700,640.30
2017-01-12,633.00,637.45,628.00,634.65,141500,634.65
2017-01-11,634.00,642.20,627.00,634.05,592500,634.05
2017-01-10,612.95,632.90,609.30,631.40,437000,631.40
2017-01-09,614.70,619.00,601.65,614.20,315300,614.20
2017-01-06,615.85,618.05,613.25,614.70,182700,614.70
2017-01-05,610.00,617.90,609.70,611.70,550200,611.70
2017-01-04,606.90,613.00,605.10,607.30,264000,607.30
2017-01-03,607.00,609.50,598.05,606.40,323500,606.40
2017-01-02,594.95,607.00,589.60,604.50,327500,604.50
2016-12-30,591.00,601.00,587.60,589.80,378300,589.80
2016-12-29,590.00,592.40,585.10,589.20,321600,589.20
2016-12-28,585.10,597.00,582.00,588.55,382400,588.55
2016-12-27,577.00,585.50,572.00,583.60,178200,583.60
2016-12-26,587.00,590.35,567.75,575.15,387100,575.15
2016-12-23,596.45,597.80,583.20,587.00,608900,587.00
2016-12-22,590.90,595.30,582.20,594.00,255200,594.00
2016-12-21,599.00,599.00,587.25,590.55,521400,590.55
2016-12-20,601.00,603.70,594.00,599.10,260100,599.10
2016-12-19,611.80,612.75,600.00,602.20,188800,602.20
2016-12-16,615.00,615.35,605.50,607.15,197300,607.15
2016-12-15,608.25,624.90,604.50,611.70,530500,611.70
2016-12-14,611.70,616.80,607.95,613.00,242700,613.00
2016-12-13,602.00,613.90,598.65,610.95,709000,610.95
2016-12-12,638.80,639.00,604.05,607.60,601000,607.60
2016-12-09,647.50,647.85,637.90,640.35,247800,640.35
2016-12-08,645.00,646.90,640.30,644.40,203500,644.40
2016-12-07,638.00,643.80,634.60,640.70,262000,640.70
2016-12-06,637.85,647.95,633.20,636.45,260000,636.45
2016-12-05,635.00,639.50,628.45,635.30,173800,635.30
2016-12-02,634.10,642.05,625.70,634.10,432500,634.10
2016-12-01,643.00,644.40,631.25,642.05,214400,642.05
2016-11-30,632.00,644.80,630.35,640.40,569500,640.40
2016-11-29,625.00,631.90,621.05,629.35,456500,629.35
2016-11-28,629.80,630.65,616.65,625.55,361800,625.55
2016-11-25,621.95,635.00,608.60,628.80,276600,628.80
2016-11-24,611.10,617.10,605.40,612.10,870400,612.10
2016-11-23,616.00,617.45,607.05,616.50,430900,616.50
2016-11-22,614.00,617.35,597.10,613.95,279600,613.95
2016-11-21,615.00,616.45,594.80,604.25,390700,604.25
2016-11-18,610.25,625.75,610.25,614.90,743300,614.90
2016-11-17,628.95,636.30,612.00,616.15,308300,616.15
2016-11-16,617.45,629.00,603.10,623.95,695600,623.95
2016-11-15,650.00,650.00,583.65,617.10,1347400,617.10
2016-11-14,659.50,659.50,659.50,659.50,000,659.50
2016-11-11,662.50,669.80,635.60,659.50,885300,659.50
2016-11-10,699.00,699.00,663.20,665.60,590000,665.60
2016-11-09,670.00,692.00,639.00,678.05,578900,678.05
2016-11-08,696.80,699.80,688.00,691.40,148900,691.40
2016-11-07,701.00,704.90,690.35,693.85,142600,693.85
2016-11-04,687.55,703.35,677.55,694.20,708200,694.20
2016-11-03,704.95,707.40,685.10,687.95,377400,687.95
2016-11-02,710.00,714.15,702.55,704.05,190400,704.05
2016-11-01,725.40,726.95,705.65,711.40,534600,711.40
2016-10-31,718.80,718.80,718.80,718.80,000,718.80
2016-10-28,710.10,722.75,710.10,718.80,586700,718.80
2016-10-27,703.10,716.00,698.00,709.00,233400,709.00
