Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,16390.20,16718.10,16101.00,16269.10,8500,16269.10
2017-02-24,16390.30,16390.30,16390.30,16390.30,000,16390.30
2017-02-23,16185.00,16544.00,16081.60,16390.30,22400,16390.30
2017-02-22,15730.20,16199.70,15653.00,16137.20,7200,16137.20
2017-02-21,15672.30,15801.00,15472.50,15746.90,24100,15746.90
2017-02-20,15283.80,15675.00,15283.80,15521.60,17800,15521.60
2017-02-17,15500.00,15520.00,15200.10,15343.20,9100,15343.20
2017-02-16,15326.00,15550.00,15211.00,15402.70,7600,15402.70
2017-02-15,15250.00,15599.90,15010.00,15418.50,9100,15418.50
2017-02-14,15900.00,15901.10,14930.20,15201.70,49200,15201.70
2017-02-13,16001.00,16125.00,15790.00,15877.00,5200,15877.00
2017-02-10,16097.00,16098.00,15890.00,16030.50,4800,16030.50
2017-02-09,15899.20,16106.00,15752.20,16009.40,9000,16009.40
2017-02-08,15872.00,15980.00,15790.00,15887.30,12900,15887.30
2017-02-07,15850.00,15971.80,15740.00,15943.80,66200,15943.80
2017-02-06,15910.00,16072.20,15910.00,15992.50,7000,15992.50
2017-02-03,15750.00,16199.90,15650.30,16047.30,13500,16047.30
2017-02-02,15960.00,15960.00,15620.00,15747.70,13500,15747.70
2017-02-01,15600.00,16111.00,15557.50,15937.70,16300,15937.70
2017-01-31,15845.00,15912.00,15370.00,15456.10,28300,15456.10
2017-01-30,15900.00,16080.00,15569.40,15726.20,9100,15726.20
2017-01-27,15800.00,16000.00,15800.00,15912.30,16600,15912.30
2017-01-26,15793.20,15793.20,15793.20,15793.20,000,15793.20
2017-01-25,15570.00,15974.80,15570.00,15793.20,13600,15793.20
2017-01-24,15151.00,15750.00,15119.80,15698.20,18900,15698.20
2017-01-23,15450.00,15590.00,15017.00,15169.70,13300,15169.70
2017-01-20,15491.40,16025.50,15255.30,15497.80,22600,15497.80
2017-01-19,15524.00,15743.00,15456.10,15647.90,17000,15647.90
2017-01-18,15000.00,15537.80,14980.00,15435.90,10900,15435.90
2017-01-17,14791.20,15051.20,14650.00,14966.60,8400,14966.60
2017-01-16,15097.70,15097.70,14664.30,14756.00,9200,14756.00
2017-01-13,14999.00,15100.00,14753.00,14956.80,6300,14956.80
2017-01-12,15125.00,15327.20,14679.00,14931.50,15200,14931.50
2017-01-11,14451.00,15200.00,14334.90,15002.00,16700,15002.00
2017-01-10,14481.00,14499.00,14302.00,14435.50,7600,14435.50
2017-01-09,14350.00,14480.00,14255.00,14388.80,6000,14388.80
2017-01-06,14219.90,14440.00,14120.00,14298.50,10300,14298.50
2017-01-05,14299.00,14325.00,14001.00,14156.90,8600,14156.90
2017-01-04,14211.10,14360.00,13930.00,14122.60,86800,14122.60
2017-01-03,14517.60,14517.60,14051.00,14128.50,14800,14128.50
2017-01-02,14700.00,14875.10,14364.60,14517.60,5300,14517.60
2016-12-30,13800.00,15180.00,13696.00,14733.40,22800,14733.40
2016-12-29,13757.10,13999.00,13572.00,13854.50,16000,13854.50
2016-12-28,13650.00,13930.00,13330.00,13737.10,15300,13737.10
2016-12-27,13415.20,13590.00,13233.00,13527.90,7200,13527.90
2016-12-26,13537.40,13537.40,13310.00,13395.20,3000,13395.20
2016-12-23,13569.80,13768.00,13140.30,13628.50,33800,13628.50
2016-12-22,14117.90,14124.60,13351.00,13471.00,12400,13471.00
2016-12-21,14149.90,14255.00,13940.00,14097.80,8900,14097.80
2016-12-20,14010.00,14163.00,13670.00,14011.20,10600,14011.20
2016-12-19,14132.80,14227.60,13920.00,14059.20,9900,14059.20
2016-12-16,14800.00,14827.20,13880.00,14112.80,21100,14112.80
2016-12-15,14604.10,14925.00,14455.20,14709.50,8000,14709.50
2016-12-14,14919.80,14927.20,14555.20,14773.20,6100,14773.20
2016-12-13,14650.00,15100.00,14341.00,14832.50,16100,14832.50
2016-12-12,15247.70,15350.00,14655.00,14752.70,18400,14752.70
2016-12-09,15400.00,15500.00,15002.10,15227.70,13200,15227.70
2016-12-08,15340.00,15500.00,15200.00,15395.30,11300,15395.30
2016-12-07,15550.00,15600.00,15130.00,15198.80,24900,15198.80
2016-12-06,15170.00,15627.30,15112.00,15506.30,16900,15506.30
2016-12-05,14912.70,15500.00,14904.80,15105.30,11400,15105.30
2016-12-02,14970.00,15188.00,14702.00,15063.30,10300,15063.30
2016-12-01,15555.00,15680.00,14652.30,14990.30,15500,14990.30
2016-11-30,15600.00,15782.00,15414.90,15571.60,21100,15571.60
2016-11-29,15639.00,15980.00,15450.10,15593.50,18800,15593.50
2016-11-28,15477.60,15532.80,15200.00,15448.20,8500,15448.20
2016-11-25,14977.60,15500.00,14900.00,15442.40,13100,15442.40
2016-11-24,15155.00,15249.50,14550.00,14969.20,24900,14969.20
2016-11-23,14939.00,15230.00,14850.00,15010.50,24600,15010.50
2016-11-22,14285.00,15095.00,14252.70,14924.00,20600,14924.00
2016-11-21,14143.20,14640.00,13960.00,14394.80,17300,14394.80
2016-11-18,13636.50,14675.00,13010.00,14129.00,41700,14129.00
2016-11-17,13652.90,14069.00,13148.20,13501.50,42000,13501.50
2016-11-16,14439.90,14439.90,13400.00,13931.50,30600,13931.50
2016-11-15,15269.30,15400.00,13628.80,14267.50,29700,14267.50
2016-11-14,15269.30,15269.30,15269.30,15269.30,000,15269.30
2016-11-11,15695.00,16449.90,14299.80,15269.30,21600,15269.30
2016-11-10,16724.90,16850.10,15511.00,15753.10,12300,15753.10
2016-11-09,15165.00,16700.00,15165.00,16352.60,30200,16352.60
2016-11-08,16430.00,17090.00,16430.00,16963.10,17500,16963.10
2016-11-07,17089.00,17248.80,15920.00,16400.90,45200,16400.90
2016-11-04,16189.80,16998.00,15885.80,16826.90,18200,16826.90
2016-11-03,16475.00,16600.00,15951.00,16122.20,10300,16122.20
2016-11-02,16647.10,16866.00,16320.00,16465.80,4100,16465.80
2016-11-01,16900.10,17300.00,16506.00,16815.20,9100,16815.20
2016-10-31,16719.20,16719.20,16719.20,16719.20,000,16719.20
2016-10-28,16600.10,16972.30,16509.80,16719.20,8800,16719.20
2016-10-27,16927.30,16927.30,16509.60,16719.10,23000,16719.10
2016-10-26,17237.00,17430.10,16754.10,16846.60,8900,16846.60
2016-10-25,17217.60,17349.90,17180.00,17237.40,4800,17237.40
2016-10-24,17231.00,17344.00,17151.10,17259.70,3500,17259.70
2016-10-21,17498.90,17500.00,17200.00,17231.80,5100,17231.80
2016-10-20,17400.00,17507.70,17161.00,17340.70,5300,17340.70
2016-10-19,17482.10,17614.40,17181.80,17287.10,7700,17287.10
2016-10-18,17590.00,17710.00,17219.00,17581.70,30700,17581.70
2016-10-17,17248.00,17560.00,17073.20,17454.80,40200,17454.80
2016-10-14,17358.20,17545.20,17022.00,17114.70,3600,17114.70
2016-10-13,17537.60,17800.00,17300.10,17484.40,22600,17484.40
2016-10-12,17595.70,17595.70,17595.70,17595.70,000,17595.70
2016-10-11,17595.70,17595.70,17595.70,17595.70,000,17595.70
2016-10-10,17650.00,17700.00,17450.10,17595.70,4000,17595.70
2016-10-07,17589.90,17750.90,17465.80,17637.70,3300,17637.70
2016-10-06,17863.30,17980.10,17510.00,17559.60,4600,17559.60
2016-10-05,17800.00,18179.90,17601.60,17767.60,12400,17767.60
2016-10-04,17900.00,17900.00,17549.10,17715.20,7200,17715.20
2016-10-03,17042.70,18490.00,16927.60,17892.90,17400,17892.90
2016-09-30,16988.00,17274.70,16700.00,17042.70,11700,17042.70
2016-09-29,16825.00,17120.40,15801.00,16988.90,12500,16988.90
2016-09-28,16939.90,17000.00,16725.00,16824.20,11300,16824.20
2016-09-27,17019.80,17183.80,16635.00,16800.60,16800,16800.60
2016-09-26,17030.00,17300.00,16601.00,17014.30,19800,17014.30
