Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,464.00,464.00,455.10,457.80,5510400,457.80
2017-02-24,462.35,462.35,462.35,462.35,000,462.35
2017-02-23,464.00,464.70,457.25,462.35,9492400,462.35
2017-02-22,460.25,466.70,455.80,460.05,7315200,460.05
2017-02-21,456.90,462.80,454.50,458.65,6875900,458.65
2017-02-20,451.50,458.45,449.00,455.45,5866700,455.45
2017-02-17,447.90,456.60,442.40,452.95,10063500,452.95
2017-02-16,442.55,447.60,435.40,446.00,11622700,446.00
2017-02-15,449.05,453.00,434.35,436.45,38638600,436.45
2017-02-14,503.00,506.70,466.55,482.05,14901400,482.05
2017-02-13,512.70,512.70,503.30,505.30,4700500,505.30
2017-02-10,513.00,514.80,506.50,509.55,4732000,509.55
2017-02-09,515.40,518.00,505.75,512.85,4099800,512.85
2017-02-08,512.35,514.95,506.30,513.05,5975000,513.05
2017-02-07,524.80,524.80,502.00,506.80,7987200,506.80
2017-02-06,527.90,531.45,523.20,525.85,3642500,525.85
2017-02-03,531.90,531.90,519.50,522.60,5298200,522.60
2017-02-02,537.60,537.60,526.80,531.50,6579800,531.50
2017-02-01,527.50,544.50,522.90,542.25,4786700,542.25
2017-01-31,530.20,531.50,518.00,523.55,6035000,523.55
2017-01-30,542.00,543.50,530.80,532.30,4163400,532.30
2017-01-27,549.00,552.00,539.75,541.95,4493800,541.95
2017-01-26,548.90,548.90,548.90,548.90,000,548.90
2017-01-25,543.25,551.90,541.55,548.90,4504900,548.90
2017-01-24,533.00,543.00,532.35,541.55,5183600,541.55
2017-01-23,523.20,534.95,523.00,532.70,4209800,532.70
2017-01-20,527.40,529.30,521.25,523.20,5013900,523.20
2017-01-19,523.00,535.60,522.70,531.45,5810100,531.45
2017-01-18,523.05,529.60,521.20,522.45,5874600,522.45
2017-01-17,528.10,530.80,521.00,523.70,4297400,523.70
2017-01-16,518.65,529.45,517.00,526.40,6084500,526.40
2017-01-13,523.25,523.25,507.50,514.85,6367200,514.85
2017-01-12,521.70,524.00,513.20,518.25,4219600,518.25
2017-01-11,520.25,523.95,517.15,519.25,4886300,519.25
2017-01-10,506.55,518.00,505.95,516.25,7973000,516.25
2017-01-09,499.40,504.60,492.15,500.15,3932700,500.15
2017-01-06,502.95,507.95,496.25,497.75,4907400,497.75
2017-01-05,496.00,503.40,495.55,502.15,7961200,502.15
2017-01-04,484.65,493.70,484.10,486.65,4769800,486.65
2017-01-03,491.00,492.70,479.90,481.10,5814500,481.10
2017-01-02,472.00,488.70,469.05,487.05,4024100,487.05
2016-12-30,471.00,475.00,467.50,472.00,3605500,472.00
2016-12-29,462.75,472.70,459.35,470.90,4763100,470.90
2016-12-28,467.00,468.65,462.00,463.35,3772100,463.35
2016-12-27,460.00,468.75,457.40,466.95,3164600,466.95
2016-12-26,465.50,465.50,455.60,457.85,3282400,457.85
2016-12-23,464.95,468.30,460.00,465.65,3957800,465.65
2016-12-22,468.15,472.95,464.80,469.60,5436400,469.60
2016-12-21,473.50,474.50,467.10,468.50,3492800,468.50
2016-12-20,473.00,475.00,469.10,473.15,3690100,473.15
2016-12-19,470.90,478.55,465.50,471.80,5445600,471.80
2016-12-16,465.00,474.90,464.20,473.15,9015700,473.15
