Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,433.00,438.55,425.75,435.35,891300,435.35
2017-02-24,432.95,432.95,432.95,432.95,000,432.95
2017-02-23,440.40,441.60,431.00,432.95,3737900,432.95
2017-02-22,457.20,458.00,438.50,440.00,2543100,440.00
2017-02-21,433.95,458.50,430.10,457.30,2381300,457.30
2017-02-20,431.90,438.40,426.45,434.45,1216900,434.45
2017-02-17,424.00,433.80,421.40,431.50,1184800,431.50
2017-02-16,408.55,426.00,408.55,424.00,1360200,424.00
2017-02-15,429.95,431.40,410.50,412.45,1647000,412.45
2017-02-14,429.70,431.85,420.60,428.35,860400,428.35
2017-02-13,432.00,432.00,422.60,428.35,725300,428.35
2017-02-10,427.00,435.40,423.75,432.00,1554700,432.00
2017-02-09,422.40,429.50,418.65,427.00,1899800,427.00
2017-02-08,410.00,431.55,406.35,425.60,12272300,425.60
2017-02-07,393.95,397.00,386.65,393.45,2246400,393.45
2017-02-06,385.00,397.00,383.15,391.05,1765700,391.05
2017-02-03,389.00,389.00,377.50,379.75,719000,379.75
2017-02-02,370.95,394.40,369.00,389.30,1863000,389.30
2017-02-01,363.75,372.25,359.00,369.95,931300,369.95
2017-01-31,370.90,370.90,359.35,362.05,788600,362.05
2017-01-30,370.00,374.00,368.10,371.45,361800,371.45
2017-01-27,372.00,375.65,366.55,372.80,386400,372.80
2017-01-26,372.15,372.15,372.15,372.15,000,372.15
2017-01-25,366.00,378.45,361.75,372.15,2920100,372.15
2017-01-24,369.50,369.90,361.80,364.35,883200,364.35
2017-01-23,356.90,364.95,356.90,363.95,768600,363.95
2017-01-20,371.00,371.00,358.25,360.70,829700,360.70
2017-01-19,365.10,374.90,365.10,372.70,1091600,372.70
2017-01-18,360.30,370.65,359.05,367.00,865000,367.00
2017-01-17,362.85,364.50,358.30,359.95,1393700,359.95
2017-01-16,358.40,364.60,357.05,362.85,577600,362.85
2017-01-13,363.35,366.45,355.00,358.35,701400,358.35
2017-01-12,360.95,365.80,359.50,363.70,1138700,363.70
2017-01-11,363.50,365.45,359.10,360.75,1059300,360.75
2017-01-10,355.25,363.45,354.00,361.45,680200,361.45
2017-01-09,355.95,357.35,351.60,354.60,388000,354.60
2017-01-06,359.00,363.00,352.60,355.20,1089900,355.20
2017-01-05,360.50,361.50,355.45,358.05,1187800,358.05
2017-01-04,350.40,361.95,349.20,359.65,2371000,359.65
2017-01-03,341.00,354.60,339.15,348.15,2773100,348.15
2017-01-02,328.95,336.30,325.50,333.95,656000,333.95
2016-12-30,322.60,328.00,321.70,326.80,498200,326.80
2016-12-29,314.95,323.40,312.35,320.95,1462200,320.95
2016-12-28,312.80,317.95,312.80,314.25,949400,314.25
2016-12-27,311.00,317.00,308.10,316.35,722400,316.35
2016-12-26,313.00,314.40,307.10,307.85,672600,307.85
2016-12-23,310.90,315.50,308.50,314.30,966500,314.30
2016-12-22,318.70,322.90,308.40,309.80,2326200,309.80
2016-12-21,319.70,327.90,313.00,319.70,1494000,319.70
2016-12-20,318.00,322.45,316.10,317.95,572800,317.95
2016-12-19,320.70,321.50,316.10,316.85,563200,316.85
2016-12-16,316.00,322.80,315.20,321.70,1225800,321.70
2016-12-15,320.70,323.80,314.10,315.35,1010900,315.35
2016-12-14,318.90,325.20,318.30,322.15,1104500,322.15
2016-12-13,322.00,327.90,318.40,320.05,894200,320.05
2016-12-12,325.30,330.85,317.20,321.70,819900,321.70
2016-12-09,326.20,330.70,322.70,326.55,648700,326.55
2016-12-08,325.55,335.50,324.35,326.60,1684900,326.60
2016-12-07,324.85,327.90,321.65,324.20,903100,324.20
2016-12-06,325.80,327.25,321.05,323.50,1159300,323.50
2016-12-05,314.80,328.50,308.00,325.85,2844500,325.85
2016-12-02,320.00,328.20,307.15,313.20,2033200,313.20
2016-12-01,323.00,333.40,317.25,324.90,2650900,324.90
2016-11-30,314.45,328.55,311.45,323.50,3265100,323.50
2016-11-29,306.00,316.25,305.25,313.85,1450500,313.85
2016-11-28,316.95,318.00,303.75,306.55,1676900,306.55
2016-11-25,310.90,319.20,306.30,316.15,1285100,316.15
2016-11-24,311.00,314.70,306.00,307.55,2751700,307.55
2016-11-23,309.00,314.00,306.25,312.50,1250700,312.50
2016-11-22,306.00,311.70,300.65,306.90,1945500,306.90
2016-11-21,304.00,306.30,296.15,304.10,3322400,304.10
2016-11-18,319.30,319.50,299.00,303.30,5298400,303.30
2016-11-17,319.95,322.00,308.30,315.90,1965700,315.90
2016-11-16,333.50,338.10,313.15,320.30,1715400,320.30
2016-11-15,332.00,333.65,301.65,329.40,4023800,329.40
2016-11-14,334.95,334.95,334.95,334.95,000,334.95
2016-11-11,342.00,343.20,323.85,334.95,2165500,334.95
2016-11-10,355.40,359.80,347.50,349.35,3548000,349.35
2016-11-09,334.05,356.25,315.50,348.80,6105100,348.80
2016-11-08,372.00,374.60,364.80,371.15,725800,371.15
2016-11-07,372.60,383.50,368.00,370.50,1702100,370.50
2016-11-04,377.20,378.00,360.05,369.05,5181200,369.05
2016-11-03,377.45,383.50,373.80,377.20,1629900,377.20
2016-11-02,371.50,384.30,369.15,377.60,2464200,377.60
2016-11-01,379.50,381.10,370.55,372.70,2554000,372.70
2016-10-31,373.55,373.55,373.55,373.55,000,373.55
2016-10-28,370.45,376.70,368.55,373.55,1479000,373.55
2016-10-27,373.00,375.70,361.10,369.20,1476300,369.20
2016-10-26,372.10,380.45,367.35,375.55,1874900,375.55
2016-10-25,375.00,375.50,367.50,373.30,1613900,373.30
2016-10-24,381.65,381.65,372.65,377.55,1511400,377.55
2016-10-21,390.10,392.90,377.15,379.40,997800,379.40
2016-10-20,388.90,394.00,387.65,389.60,1130300,389.60
2016-10-19,391.10,393.35,385.95,388.40,1428500,388.40
2016-10-18,389.90,390.90,385.00,390.10,864700,390.10
2016-10-17,385.25,389.00,380.30,386.10,1651900,386.10
2016-10-14,392.40,392.40,380.15,385.25,3113500,385.25
2016-10-13,403.50,404.05,385.50,388.20,4769900,388.20
2016-10-12,403.70,403.70,403.70,403.70,000,403.70
2016-10-11,403.70,403.70,403.70,403.70,000,403.70
2016-10-10,395.30,408.60,395.00,403.70,1317700,403.70
2016-10-07,399.90,400.95,392.30,395.30,1412900,395.30
2016-10-06,406.50,408.90,395.10,398.85,903100,398.85
2016-10-05,406.70,408.85,400.70,405.90,734600,405.90
2016-10-04,407.35,408.20,400.60,406.55,784300,406.55
2016-10-03,398.00,408.55,395.10,406.60,1133000,406.60
2016-09-30,393.05,399.20,383.20,395.10,1517800,395.10
2016-09-29,413.00,413.95,391.05,393.15,1437100,393.15
2016-09-28,405.00,410.90,402.00,409.70,1071000,409.70
2016-09-27,402.00,406.75,402.00,405.35,599700,405.35
2016-09-26,408.50,410.85,401.50,404.75,555400,404.75
2016-09-23,414.00,419.00,407.30,409.00,834600,409.00
2016-09-22,409.85,417.00,408.55,414.40,1140900,414.40
2016-09-21,405.70,409.90,402.25,406.45,1052700,406.45
2016-09-20,401.00,406.50,399.70,402.85,515800,402.85
2016-09-19,406.00,409.50,401.50,402.85,860000,402.85
2016-09-16,408.50,410.80,403.20,407.60,1324300,407.60
2016-09-15,417.90,417.90,404.40,406.40,1551400,406.40
2016-09-14,414.00,418.00,406.00,414.55,1555000,414.55
