Date,Open,High,Low,Close,Volume,Adj Close
2017-02-27,1309.75,1349.50,1297.00,1343.55,381500,1343.55
2017-02-24,1296.60,1296.60,1296.60,1296.60,000,1296.60
2017-02-23,1306.00,1306.00,1280.80,1296.60,319900,1296.60
2017-02-22,1319.70,1323.95,1295.40,1311.95,192900,1311.95
2017-02-21,1299.95,1320.00,1282.20,1310.40,336800,1310.40
2017-02-20,1275.00,1302.00,1274.55,1291.85,244600,1291.85
2017-02-17,1263.00,1277.30,1252.25,1260.65,125300,1260.65
2017-02-16,1230.10,1268.25,1226.85,1253.85,141500,1253.85
2017-02-15,1254.90,1255.70,1205.30,1231.40,212800,1231.40
2017-02-14,1255.95,1265.20,1251.35,1259.75,144400,1259.75
2017-02-13,1256.90,1259.85,1241.20,1249.50,85600,1249.50
2017-02-10,1255.90,1258.40,1240.10,1251.95,128700,1251.95
2017-02-09,1272.00,1277.95,1250.05,1257.00,396400,1247.00
2017-02-08,1291.00,1294.20,1262.95,1267.00,304900,1256.92
2017-02-07,1284.00,1296.00,1275.00,1286.30,371300,1276.067
2017-02-06,1329.80,1329.80,1275.00,1283.80,489800,1273.587
2017-02-03,1288.00,1360.00,1285.70,1314.30,551900,1303.844
2017-02-02,1298.00,1298.00,1265.25,1287.15,151100,1276.91
2017-02-01,1301.40,1320.70,1287.00,1298.30,83200,1287.972
2017-01-31,1307.15,1326.00,1282.20,1299.95,168800,1289.608
2017-01-30,1298.95,1316.00,1290.00,1305.70,49700,1295.313
2017-01-27,1314.95,1314.95,1291.20,1297.85,84500,1287.525
2017-01-26,1301.15,1301.15,1301.15,1301.15,000,1290.799
2017-01-25,1294.75,1305.60,1283.95,1301.15,139100,1290.799
2017-01-24,1284.90,1298.00,1276.00,1293.35,144400,1283.061
2017-01-23,1293.00,1298.10,1274.00,1285.30,93600,1275.075
2017-01-20,1306.65,1318.80,1286.00,1292.85,112600,1282.565
2017-01-19,1308.70,1319.00,1300.00,1307.20,131500,1296.801
2017-01-18,1340.00,1340.00,1302.15,1308.70,67900,1298.289
2017-01-17,1330.55,1348.00,1323.50,1331.70,49200,1321.106
2017-01-16,1335.35,1352.00,1326.10,1329.10,83400,1318.526
2017-01-13,1326.70,1338.00,1320.80,1333.90,68200,1323.288
2017-01-12,1355.75,1359.00,1318.80,1326.70,110600,1316.145
2017-01-11,1358.15,1373.00,1354.10,1363.75,50900,1352.901
2017-01-10,1352.95,1363.00,1346.40,1358.15,47700,1347.345
2017-01-09,1366.05,1379.00,1338.20,1341.25,118600,1330.58
2017-01-06,1355.20,1384.95,1350.00,1375.90,321400,1364.954
2017-01-05,1354.85,1361.55,1345.55,1357.60,36600,1346.80
2017-01-04,1315.00,1355.00,1315.00,1349.65,56800,1338.913
2017-01-03,1319.95,1350.00,1305.65,1339.45,162400,1328.794
2017-01-02,1317.15,1324.80,1301.00,1310.75,98100,1300.322
2016-12-30,1287.10,1323.00,1287.10,1317.15,102600,1306.672
2016-12-29,1299.80,1308.00,1277.75,1283.65,127700,1273.438
2016-12-28,1300.85,1312.00,1290.50,1294.60,80300,1284.301
2016-12-27,1272.00,1295.00,1257.15,1291.00,116400,1280.73
2016-12-26,1285.00,1287.00,1260.00,1262.70,102600,1252.655
2016-12-23,1298.05,1306.40,1273.40,1282.25,202400,1272.049
2016-12-22,1332.00,1338.00,1292.30,1298.00,164700,1287.674
2016-12-21,1303.75,1338.00,1291.95,1327.70,143900,1317.138
2016-12-20,1306.50,1311.95,1285.00,1291.10,76800,1280.829
2016-12-19,1305.60,1315.45,1284.05,1300.80,90100,1290.452
2016-12-16,1301.55,1317.50,1301.55,1305.60,35800,1295.213
2016-12-15,1313.55,1337.00,1302.55,1307.70,84000,1297.297
2016-12-14,1312.35,1333.15,1296.00,1322.95,200800,1312.425
2016-12-13,1348.00,1350.70,1303.55,1312.35,314300,1301.91
2016-12-12,1340.00,1357.45,1323.60,1347.25,46200,1336.532
2016-12-09,1353.00,1353.00,1334.00,1339.35,104100,1328.695
2016-12-08,1359.00,1359.00,1332.55,1343.80,71000,1333.11
2016-12-07,1361.95,1362.40,1335.60,1343.75,85600,1333.06
2016-12-06,1336.00,1362.35,1336.00,1346.25,50300,1335.54
2016-12-05,1330.00,1344.70,1303.00,1335.95,168300,1325.322
2016-12-02,1392.80,1392.80,1338.85,1346.35,82900,1335.639
2016-12-01,1392.00,1406.25,1380.20,1391.60,77700,1380.529
2016-11-30,1438.95,1465.95,1346.35,1377.15,496000,1366.194
2016-11-29,1405.05,1423.00,1390.10,1408.55,108100,1397.344
2016-11-28,1364.50,1412.00,1356.75,1406.10,200200,1394.914
2016-11-25,1348.90,1371.55,1333.70,1366.20,96000,1355.331
2016-11-24,1328.25,1364.50,1319.00,1346.95,161800,1336.234
2016-11-23,1328.00,1348.00,1318.15,1338.40,194100,1327.752
2016-11-22,1315.00,1341.00,1296.30,1335.00,157000,1324.379
2016-11-21,1310.95,1323.70,1294.00,1305.25,134800,1294.866
2016-11-18,1270.00,1318.35,1241.50,1310.05,171100,1299.628
2016-11-17,1225.00,1269.60,1215.00,1264.00,121500,1253.944
2016-11-16,1264.20,1279.95,1211.05,1227.00,240100,1217.239
2016-11-15,1305.00,1321.70,1241.30,1255.50,219600,1245.512
2016-11-14,1304.60,1304.60,1304.60,1304.60,000,1294.221
2016-11-11,1330.20,1337.90,1289.65,1304.60,315800,1294.221
2016-11-10,1372.00,1384.30,1345.00,1354.70,220600,1343.923
2016-11-09,1265.00,1364.00,1194.10,1354.00,375100,1343.228
2016-11-08,1345.00,1353.95,1309.55,1314.60,184300,1304.142
2016-11-07,1310.00,1345.60,1294.85,1333.30,211400,1322.693
2016-11-04,1317.00,1339.80,1269.05,1294.85,433300,1284.549
2016-11-03,1338.00,1356.75,1306.45,1317.25,204000,1306.771
2016-11-02,1366.00,1369.50,1335.00,1343.65,212000,1332.961
2016-11-01,1416.60,1417.80,1371.00,1379.65,325700,1368.674
2016-10-31,1415.25,1415.25,1415.25,1415.25,000,1403.991
2016-10-28,1427.10,1440.00,1401.00,1415.25,264000,1403.991
2016-10-27,1480.00,1495.00,1393.30,1425.75,976600,1414.408
2016-10-26,1582.00,1600.95,1560.40,1566.80,103700,1554.335
2016-10-25,1623.00,1630.00,1595.05,1600.90,72900,1588.164
2016-10-24,1591.00,1618.20,1566.45,1612.30,105500,1599.474
2016-10-21,1605.65,1618.00,1561.55,1582.75,208100,1570.159
2016-10-20,1639.95,1639.95,1600.20,1604.00,130000,1591.239
2016-10-19,1651.90,1655.00,1616.10,1623.55,174200,1610.634
2016-10-18,1634.35,1652.00,1626.90,1648.10,106900,1634.989
2016-10-17,1633.05,1659.85,1626.00,1629.95,109400,1616.983
2016-10-14,1620.20,1648.00,1620.20,1637.50,103500,1624.473
2016-10-13,1625.75,1638.00,1607.90,1632.05,113000,1619.066
2016-10-12,1628.90,1628.90,1628.90,1628.90,000,1615.941
2016-10-11,1628.90,1628.90,1628.90,1628.90,000,1615.941
2016-10-10,1631.05,1638.15,1618.20,1628.90,62800,1615.941
2016-10-07,1639.85,1648.00,1617.05,1630.65,163400,1617.677
2016-10-06,1676.70,1699.00,1625.45,1637.60,446200,1624.572
2016-10-05,1657.00,1672.00,1638.00,1666.70,177700,1653.441
2016-10-04,1669.50,1676.90,1634.80,1642.05,214700,1628.987
2016-10-03,1637.00,1665.00,1631.05,1660.10,114000,1646.893
2016-09-30,1616.00,1646.60,1611.90,1623.55,103400,1610.634
2016-09-29,1656.25,1669.75,1585.05,1622.80,263400,1609.89
2016-09-28,1655.00,1677.00,1640.20,1646.60,335700,1633.501
2016-09-27,1655.20,1684.00,1648.00,1656.85,134600,1643.669
2016-09-26,1640.90,1675.00,1638.05,1653.40,359900,1640.247
2016-09-23,1650.00,1660.00,1638.15,1640.85,94300,1627.796
